Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fiber,0.001204416,0.0840716054670816,1050.3,1432,0.00795507962197963,0.014,9.43933732623563e-05,0.0002,13.1799370363845,90.4412156357115
Fiber,0.000643719,0.0290840491762431,1019.8,1432,0.00701076276695438,0.0118,7.0313827741532e-05,0.0002,6.81704687229552,69.2227760779856
Fiber,0.000643719,0.0290840491762431,1023.6,1432,0.00695771644068355,0.0118,6.97602228675941e-05,0.0002,6.68786447747226,69.3754818996593
Fiber,0.000643719,0.0290840491762431,1027.4,1432,0.00690478143833596,0.0118,6.92074911478842e-05,0.0002,6.56171778543545,69.529286925558
Fiber,0.000643719,0.0290840491762431,1035,1432,0.00679879659416452,0.0118,6.81007259676925e-05,0.0002,6.31134826601426,69.8492488880469
Fiber,0.000643719,0.0290840491762431,1042.6,1432,0.00669322637992651,0.0118,6.69971639774978e-05,0.0002,6.072690563612,70.174080727281
Fiber,0.000643719,0.0290840491762431,1050.3,1432,0.00658594811030921,0.0118,6.58758753465739e-05,0.0002,5.83185773494719,70.523689502567
Fiber,0.001115229,0.105991518073727,1019.8,1432,0.0150337340889543,0.0258,0.000330612786900436,0.0002,25.3259414847087,26.0789110836264
Fiber,0.001115229,0.105991518073727,1023.6,1432,0.0149165869919814,0.0258,0.000327949358686836,0.0002,24.8403625494223,26.1483542142527
Fiber,0.001115229,0.105991518073727,1027.4,1432,0.014799991380799,0.026,0.000328252413282494,0.0002,24.3667047107913,26.2179638212181
Fiber,0.001115229,0.105991518073727,1035,1432,0.0145663777648846,0.026,0.00032288973517495,0.0002,23.426607021917,26.3619606206476
Fiber,0.001115229,0.105991518073727,1042.6,1432,0.0143341544351923,0.026,0.000317551843754802,0.0002,22.5312581438765,26.5069296160731
Fiber,0.001115229,0.105991518073727,1050.3,1432,0.0140984339782591,0.026,0.000312133715091692,0.0002,21.6285406682654,26.661626362853
Film,0.001356902,0.0116751017316804,1019.8,1400,0.0111758521845203,0.0198,0.0001882123889167,0.0002,22.3948846553079,52.9611077183146
Film,0.001356902,0.0116751017316804,1023.6,1400,0.0110909073766201,0.0198,0.000186702085138245,0.0002,21.9697436513147,53.0399189718968
Film,0.001356902,0.0116751017316804,1027.4,1400,0.0110060866273075,0.0198,0.000185193180844283,0.0002,21.5544879788388,53.119180300291
Film,0.001356902,0.0116751017316804,1035,1400,0.0108363377075733,0.0198,0.000182172569298011,0.0002,20.7305011392893,53.2835831672873
