Shape,ESD,rho_p,Wt_range
Fragment,0.001273567,1054,0.0029423179858674
Fragment,0.002097134,1054,0.00704085021409586
Fragment,0.001939073,1370,0.0109806686311908
Fiber,0.001204416,1432,0.0031688780035613
Fiber,0.000643719,1432,0.0013005968072135
Fiber,0.001115229,1432,0.0037257444656792
Film,0.001356902,1400,0.0048890687844606
Film,0.000625814,1400,0.00145998369934986
Film,0.001096891,1400,0.0033477240866094
