Shape,ESD,rho_p,Wt_range
Fragment,0.001273567,1054,0.00196214492237139
Fragment,0.002097134,1054,0.00459751679723583
Fragment,0.001939073,1370,0.00727126939507521
Fiber,0.001204416,1432,0.0018956091080152
Fiber,0.000643719,1432,0.00087012808694985
Fiber,0.001115229,1432,0.0022910128887812
Film,0.001356902,1400,0.0032959631055844
Film,0.000625814,1400,0.0009844720146709
Film,0.001096891,1400,0.00225832702318
