Shape,ESD,CSF,rho_f,rho_p,Wt,Time,Distance,Timestep,Re_Calc,Cd_Calc
Fiber,0.001115229,0.105991518073727,1027.4,1432,0.0151990461679133,0.0382,0.00050571616773275,0.0001,25.0237084826759,5.31635002687193
Fiber,0.001115229,0.105991518073727,1035,1432,0.0146177509974101,0.0373,0.000474670062958209,0.0001,23.5092288342335,5.59814819215385
Fiber,0.001115229,0.105991518073727,1042.6,1432,0.0140603194839729,0.0365,0.000446655627958082,0.0001,22.1008284312181,5.891701145246
Fiber,0.001115229,0.105991518073727,1050.3,1432,0.0135028201305261,0.0357,0.000419459555125007,0.0001,20.7148038413143,6.21599674953389
Film,0.001356902,0.0116751017316804,1019.8,1400,0.0219775528214919,0.0572,0.0010939173566415,0.0001,44.0400206012903,1.31058577341777
Film,0.001356902,0.0116751017316804,1023.6,1400,0.0215450044703498,0.0566,0.00106104246707276,0.0001,42.6780432931775,1.34509300641496
Film,0.001356902,0.0116751017316804,1027.4,1400,0.0211213292955616,0.056,0.00102902263796597,0.0001,41.3643335560089,1.38033907187278
Film,0.001356902,0.0116751017316804,1035,1400,0.0202850411360803,0.0547,0.000964839751832258,0.0001,38.8063827217336,1.45519405178752
Film,0.001356902,0.0116751017316804,1042.6,1400,0.0194830698809513,0.0536,0.000907951048508813,0.0001,36.4284085459092,1.53334902344394
Film,0.001356902,0.0116751017316804,1050.3,1400,0.0186815897159075,0.0523,0.000848969919056968,0.0001,34.0909904209145,1.61982366924649
Film,0.000625814,0.00928665958310461,1019.8,1400,0.00656439423094359,0.017,9.7182989683413e-05,0.0001,6.06679929930509,6.67984943283078
Film,0.000625814,0.00928665958310461,1023.6,1400,0.00643518076640121,0.0168,9.41261162451348e-05,0.0001,5.87916235933519,6.85574252137572
Film,0.000625814,0.00928665958310461,1027.4,1400,0.00630861767606942,0.0166,9.11505872723403e-05,0.0001,5.69817501779834,7.03540266884982
Film,0.000625814,0.00928665958310461,1035,1400,0.00605882472158983,0.0162,8.53829197614933e-05,0.0001,5.34579684596558,7.41693500567603
Film,0.000625814,0.00928665958310461,1042.6,1400,0.00581931812870544,0.0159,8.0504713699457e-05,0.0001,5.01824316688655,7.81524775881556
Film,0.000625814,0.00928665958310461,1050.3,1400,0.00557992221627269,0.0155,7.52013813511128e-05,0.0001,4.69624478251322,8.25600216733025
Film,0.001096891,0.00634608923266282,1019.8,1400,0.0150584056585243,0.0392,0.000513824855769517,0.0001,24.3928285840275,1.65959193334056
Film,0.001096891,0.00634608923266282,1023.6,1400,0.0147619506098155,0.0387,0.000497075499923119,0.0001,23.6383222866441,1.70329648116611
Film,0.001096891,0.00634608923266282,1027.4,1400,0.0144716731899438,0.0383,0.000482226422051755,0.0001,22.9107085647288,1.74792758006236
Film,0.001096891,0.00634608923266282,1035,1400,0.0138987649913292,0.0375,0.000453393602708889,0.0001,21.4940607473773,1.84270677049016
Film,0.001096891,0.00634608923266282,1042.6,1400,0.0133491371865432,0.0366,0.000424719640222577,0.0001,20.1767399731874,1.941690802827
Film,0.001096891,0.00634608923266282,1050.3,1400,0.0128000786353443,0.0358,0.000398258032812769,0.0001,18.8822358080327,2.05118254224447
