Shape,ESD,CSF,Wt_Calc
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.001273567,0.0489875807777533,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.002097134,0.0898614867757904,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fragment,0.001939073,0.0792132220091512,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.001204416,0.0840716054670816,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.000643719,0.0290840491762431,NaN
Fiber,0.001115229,0.105991518073727,NaN
Fiber,0.001115229,0.105991518073727,NaN
Fiber,0.001115229,0.105991518073727,NaN
Fiber,0.001115229,0.105991518073727,NaN
Fiber,0.001115229,0.105991518073727,NaN
Fiber,0.001115229,0.105991518073727,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.001356902,0.0116751017316804,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.000625814,0.00928665958310461,NaN
Film,0.001096891,0.00634608923266282,NaN
Film,0.001096891,0.00634608923266282,NaN
Film,0.001096891,0.00634608923266282,NaN
Film,0.001096891,0.00634608923266282,NaN
Film,0.001096891,0.00634608923266282,NaN
Film,0.001096891,0.00634608923266282,NaN
