Shape,ESD,rho_p,Wt_range
Fragment,0.001273567,1054,0.00985428299360684
Fragment,0.002097134,1054,0.015069951644688
Fragment,0.001939073,1370,0.0029776138624299
Fiber,0.001204416,1432,0.00275843243161891
Fiber,0.000643719,1432,0.0016614439629769
Fiber,0.001115229,1432,0.0030945461391819
Film,0.001356902,1400,0.000792362236672402
Film,0.000625814,1400,0.0010095546068622
Film,0.001096891,1400,0.000520685754052501
