Shape,ESD,rho_p,Wt_range
Fragment,0.001273567,1054,0.00174385373380376
Fragment,0.002097134,1054,0.00723166325099638
Fragment,0.001939073,1370,0.0097892043814321
Fiber,0.001204416,1432,0.0044880886403881
Fiber,0.000643719,1432,0.00062564473626206
Fiber,0.001115229,1432,0.0049744989331715
Film,0.001356902,1400,0.00165524565341701
Film,0.000625814,1400,0.00034371291655999
Film,0.001096891,1400,0.00064008369614145
