Shape,ESD,rho_p,Wt_range
Fragment,0.001273567,1054,0.00375105556764029
Fragment,0.002097134,1054,0.00721269835706078
Fragment,0.001939073,1370,0.0023261380363648
Fiber,0.001204416,1432,0.0021639877697422
Fiber,0.000643719,1432,0.00100410136402351
Fiber,0.001115229,1432,0.0023241923646113
Film,0.001356902,1400,0.0011577112250983
Film,0.000625814,1400,0.0007603634316781
Film,0.001096891,1400,0.0008735174676391
