Shape,ESD,CSF,Wt,Wt_Meas
Fragment,0.001700925,0.179853784100379,0.0854609685439227,0.040572985
Fragment,0.002086938,0.314547798915943,0.106786202612607,0.056497175
Fragment,0.000996582,0.0977562885497524,0.053100105227159,0.01843318
Fragment,0.001368883,0.217466712599566,0.0781443342542651,0.033613445
Fragment,0.00194646,0.110425679175415,0.0708782233529302,0.039215686
Fragment,0.001837442,0.614153320087042,0.131255300302826,0.056497175
Fragment,0.001903832,0.607812939702285,0.137745936340068,0.05988024
Fragment,0.002284278,0.737568823367241,0.143125495483688,0.089686099
Fragment,0.001596692,0.133253919503848,0.067754811856311,0.040733198
Fragment,0.00168307,0.111830014655198,0.0673884846130014,0.032906643
Fragment,0.001939073,0.0792132220091512,0.0620245929261734,0.03868472
Fragment,0.002212588,0.148827730530593,0.0911612841647453,0.037160643
Fragment,0.001817967,0.101895842990547,0.0688261307944244,0.037174721
Fragment,0.002582853,0.358169503538659,0.131386251338918,0.06779661
Fragment,0.001762887,0.112834350130696,0.0713392019820769,0.035735849
Fragment,0.001474584,0.0657038766404651,0.0539594004836351,0.025247956
Fragment,0.002184712,0.14238330576472,0.0855207927230212,0.037735849
Fragment,0.002633403,0.592065410276255,0.155691060065681,0.084388186
Fragment,0.002795438,0.62987610365005,0.170509966358355,0.101010101
Fragment,0.002720295,0.832775408553888,0.179228081178327,0.104712042
Fragment,0.001862402,0.331932435701896,0.0728910629285342,0.035273369
Fragment,0.001823016,0.288073635876191,0.0648831822396601,0.035971223
Fragment,0.001589028,0.244162329384844,0.0566480429943633,0.027020681
Fragment,0.001887135,0.281534172714555,0.0642294748650476,0.035898305
Fragment,0.001762689,0.227494364831381,0.061299053015312,0.029895366
Fragment,0.002326884,0.357770418917705,0.0764808956814367,0.045045045
Fragment,0.001572976,0.151910544045107,0.0505140530722505,0.023557126
Fragment,0.001931166,0.203758372039665,0.0603090173549425,0.028409091
Fragment,0.002105099,0.254068514462169,0.0705815165742374,0.033167496
Fragment,0.001903886,0.198345794339446,0.0611239664321868,0.030769231
Fragment,0.003009733,0.194618364326994,0.0765387352594174,0.040241449
Fragment,0.00252976,0.146375397879432,0.0662684109295311,0.035735849
Fragment,0.003482348,0.155076239361521,0.0759462011142111,0.046082949
Fragment,0.002552543,0.15210265891292,0.0686179822287197,0.033900369
Fragment,0.00305554,0.139544326572798,0.0676950220407022,0.04
Fragment,0.002679545,0.262446090574843,0.0763424729750654,0.0456621
Fragment,0.002894656,0.107976997051811,0.0596783975972401,0.038910506
Fragment,0.002893857,0.156845720807416,0.0706548450898595,0.03649635
Fragment,0.002787807,0.184092479996992,0.073401295546416,0.043103448
Fragment,0.002904201,0.246427092654357,0.0841258523662675,0.04784689
Fragment,0.001740289,0.254488461543747,0.0579278049508158,0.03327787
Fragment,0.001925098,0.257537815659095,0.0580578313992424,0.040968577
Fragment,0.001806142,0.187543972882726,0.0537334476128929,0.027390244
Fragment,0.001619626,0.214639328769005,0.0544359875992417,0.026075619
Fragment,0.00167143,0.202405190566132,0.0560128610093841,0.027777778
Fragment,0.001826392,0.253169666550495,0.0616871526278439,0.033167496
Fragment,0.001937634,0.248310434563996,0.0619364315514303,0.03649635
Fragment,0.001899524,0.234553828848177,0.0572582972010391,0.035523979
Fragment,0.002021166,0.195021366732895,0.0591773868347418,0.037243948
Fragment,0.002182857,0.265850343081488,0.0701543369697216,0.034843206
Fragment,0.002329768,0.130855256526302,0.0611989715339717,0.034482759
Fragment,0.002117852,0.134588424310743,0.0553790031883848,0.029368576
Fragment,0.002273014,0.16659260114386,0.0625676274774123,0.034467532
Fragment,0.002436774,0.199939784530085,0.0723038768720589,0.03968254
Fragment,0.002423198,0.134230751103771,0.0605643631647709,0.034013605
Fragment,0.00226653,0.118843000909657,0.0560210383517078,0.027855153
Fragment,0.002482053,0.122707246316342,0.0596855202165188,0.031397174
Fragment,0.002614716,0.151271901409957,0.0647059450034022,0.044345898
Fragment,0.00251205,0.163366798250134,0.0652414757150351,0.044345898
Fragment,0.002440144,0.143672938321042,0.0626999718801268,0.040194093
Fragment,0.001413932,0.0945662100959202,0.0195937222364966,0.00773589
Fragment,0.001553735,0.0879068192107053,0.0192310531238094,0.013368984
Fragment,0.001254669,0.0443114415037606,0.014849076959286,0.007533333
Fragment,0.001543662,0.0793352663891255,0.0194017974989485,0.008774576
Fragment,0.001756348,0.0722279299163795,0.020598799601109,0.010498688
Fragment,0.001273567,0.0489875807777533,0.0162120840653081,0.005050505
Fragment,0.001340718,0.0683668199216447,0.0181094291579573,0.008067769
Fragment,0.001460707,0.113655451426952,0.0212330084003271,0.009458571
Fragment,0.001401742,0.082059449697783,0.0177450036648951,0.012746973
Fragment,0.001333964,0.0403310903939104,0.0155413961828902,0.007447366
Fragment,0.001861531,0.107220069443889,0.0275785651689288,0.008333333
Fragment,0.001665586,0.0456315373804487,0.0179101563145612,0.011255167
Fragment,0.002097134,0.0898614867757904,0.0256724713063372,0.009708738
Fragment,0.001676401,0.0558038712491293,0.0197878636706617,0.011342228
Fragment,0.001678548,0.0704714414095899,0.0219959031159464,0.007246084
Fragment,0.001949671,0.0512871107064204,0.019940535701786,0.009470987
Fragment,0.001758304,0.105668657626454,0.0232769532523172,0.016420361
Fragment,0.001528301,0.0483983615783228,0.0174499642904704,0.008992806
Fragment,0.001854533,0.0726679034915195,0.0222468621479673,0.010557071
Fragment,0.002125587,0.0753086317329911,0.0252349958256293,0.015029496
Fiber,0.001013252,0.160892412530852,0.0606106571034321,0.023337223
Fiber,0.001115229,0.105991518073727,0.0542374931486565,0.020833333
Fiber,0.000953507,0.0264258750482728,0.0315425192130269,0.019379845
Fiber,0.001606718,0.0610131429322852,0.0541322091235395,0.022075055
Fiber,0.001139708,0.0804426690196195,0.0553145172280936,0.01552795
Fiber,0.00127934,0.0906309833697501,0.0550201289322855,0.024479804
Fiber,0.001166456,0.0384028262485808,0.0412374308142621,0.015686275
Fiber,0.001132822,0.101822681080993,0.061534090096114,0.019029496
Fiber,0.00139375,0.0650769201262723,0.0546518508595635,0.021762786
Fiber,0.000849713,0.0530229679737175,0.0440176426615974,0.007996801
Fiber,0.001122332,0.143028233943849,0.0618161548451281,0.015686275
Fiber,0.001254411,0.0965182890396402,0.0559709838639211,0.024783147
Fiber,0.000643719,0.0290840491762431,0.0293092226509348,0.010559662
Fiber,0.000943625,0.0200220957343447,0.0296244674320674,0.013333333
Fiber,0.00116318,0.119379934430812,0.0528782820559937,0.018796992
Fiber,0.001431618,0.0439150290920783,0.0473875378423067,0.017761989
Fiber,0.0014051,0.0436389604120962,0.0465407902379036,0.020639835
Fiber,0.001228451,0.0385709927742405,0.0432264650164779,0.018198362
Fiber,0.001204416,0.0840716054670816,0.0537329141747008,0.020408163
Fiber,0.001078273,0.045175818450955,0.0411926286749495,0.017777778
Film,0.00130241,0.048169199186071,0.0314488284977126,0.01532567
Film,0.000945978,0.0223643536534301,0.0192153124589372,0.008028904
Film,0.001036934,0.0185341882204163,0.0209471963204523,0.009560229
Film,0.001172154,0.0275033743897306,0.0247036871616409,0.010012931
Film,0.001073998,0.0251990279684804,0.0213338645514175,0.009225092
Film,0.000938224,0.0213265269533733,0.019999313760516,0.008853475
Film,0.001010671,0.0183347474356736,0.0199152342334252,0.009157509
Film,0.000897379,0.0343755488451446,0.0241459642571074,0.008949774
Film,0.000823015,0.0209671757639281,0.0195188910080901,0.007160412
Film,0.000756879,0.0257800383351599,0.0174662893856222,0.00697107
Film,0.001130627,0.0143233734957769,0.0207225774520072,0.008420738
Film,0.001356902,0.0116751017316804,0.0214347467616525,0.008932711
Film,0.001447857,0.0124159703336139,0.0225579244442771,0.009277492
Film,0.001788325,0.0211708167511635,0.0281982412890585,0.015710919
Film,0.001224851,0.0125814610362707,0.0204615744066202,0.009066183
Film,0.001874491,0.0434160081290088,0.0359397068710054,0.019880716
Film,0.001748718,0.0298420743446279,0.0334914217114886,0.013218771
Film,0.001980079,0.0134642315771924,0.0244238246354023,0.014164306
Film,0.001965935,0.0256010102927596,0.031227210098777,0.015452251
Film,0.001470483,0.0155493260357608,0.0230954795576262,0.012091898
Film,0.000967263,0.00567731939183674,0.0176325688231289,0.00664697
Film,0.000625814,0.00928665958310461,0.0151129244034543,0.005163956
Film,0.000697517,0.00794968205678084,0.0157289784192617,0.005817336
Film,0.00074577,0.00999245482903146,0.0176325836008306,0.006118079
Film,0.000722449,0.010860256667736,0.0161837457825918,0.005899705
Film,0.000788476,0.00695688471649791,0.0152965655511236,0.006830836
Film,0.000836086,0.00633914708132321,0.0175775228364132,0.005132153
Film,0.000656389,0.00922300864777753,0.0152682824199125,0.004539265
Film,0.000641466,0.0112522013393101,0.0158017343614473,0.005502063
Film,0.000808196,0.00741861673206967,0.0174460024796448,0.006805036
Film,0.001112342,0.0106031251826439,0.0225217575398891,0.008503401
Film,0.001091642,0.0138611083160537,0.024316632672441,0.00856898
Film,0.001096891,0.0611262058652282,0.0517270376546567,0.007538636
Film,0.001142018,0.00463712585471378,0.0175404580141516,0.006928904
Film,0.001132298,0.00564446175617915,0.0181809303191538,0.008421053
Film,0.000960498,0.0065147011520963,0.0184778193215639,0.007412898
Film,0.001453873,0.00769063045859797,0.0219488884542513,0.00911577
Film,0.001312777,0.038718372041844,0.0488228615208636,0.006785004
Film,0.001096891,0.00634608923266282,0.0192581151953888,0.006874283
Film,0.001080991,0.00492837454896964,0.0173430315907014,0.00669344
