Shape,ESD,CSF,Wt,Wt_Meas
Fragment,0.001700925,0.179853784100379,0.0294080701165065,0.040572985
Fragment,0.002086938,0.314547798915943,0.0554204341350143,0.056497175
Fragment,0.000996582,0.0977562885497524,NaN,0.01843318
Fragment,0.001368883,0.217466712599566,0.033535097871817,0.033613445
Fragment,0.00194646,0.110425679175415,NaN,0.039215686
Fragment,0.001837442,0.614153320087042,0.0726248142456397,0.056497175
Fragment,0.001903832,0.607812939702285,0.0770332700627756,0.05988024
Fragment,0.002284278,0.737568823367241,0.0941690242832423,0.089686099
Fragment,0.001596692,0.133253919503848,NaN,0.040733198
Fragment,0.00168307,0.111830014655198,NaN,0.032906643
Fragment,0.001939073,0.0792132220091512,NaN,0.03868472
Fragment,0.002212588,0.148827730530593,NaN,0.037160643
Fragment,0.001817967,0.101895842990547,NaN,0.037174721
Fragment,0.002582853,0.358169503538659,0.0647336569228594,0.06779661
Fragment,0.001762887,0.112834350130696,NaN,0.035735849
Fragment,0.001474584,0.0657038766404651,NaN,0.025247956
Fragment,0.002184712,0.14238330576472,NaN,0.037735849
Fragment,0.002633403,0.592065410276255,0.0909405246808321,0.084388186
Fragment,0.002795438,0.62987610365005,0.0962338300406824,0.101010101
Fragment,0.002720295,0.832775408553888,0.108071188917006,0.104712042
Fragment,0.001862402,0.331932435701896,0.0379713760927029,0.035273369
Fragment,0.001823016,0.288073635876191,0.0344058298574133,0.035971223
Fragment,0.001589028,0.244162329384844,0.0275365094353967,0.027020681
Fragment,0.001887135,0.281534172714555,0.0353920693578248,0.035898305
Fragment,0.001762689,0.227494364831381,0.028625774162617,0.029895366
Fragment,0.002326884,0.357770418917705,0.0472394056829169,0.045045045
Fragment,0.001572976,0.151910544045107,0.0076909803224967,0.023557126
Fragment,0.001931166,0.203758372039665,0.0272749850814989,0.028409091
Fragment,0.002105099,0.254068514462169,0.0352825351062549,0.033167496
Fragment,0.001903886,0.198345794339446,0.0262635935322156,0.030769231
Fragment,0.003009733,0.194618364326994,0.0325671709298378,0.040241449
Fragment,0.00252976,0.146375397879432,NaN,0.035735849
Fragment,0.003482348,0.155076239361521,0.0166232309024413,0.046082949
Fragment,0.002552543,0.15210265891292,0.011014641602762,0.033900369
Fragment,0.00305554,0.139544326572798,NaN,0.04
Fragment,0.002679545,0.262446090574843,0.0416160686154154,0.0456621
Fragment,0.002894656,0.107976997051811,NaN,0.038910506
Fragment,0.002893857,0.156845720807416,0.0170005888384827,0.03649635
Fragment,0.002787807,0.184092479996992,0.0295756763511462,0.043103448
Fragment,0.002904201,0.246427092654357,0.0420603282903287,0.04784689
Fragment,0.001740289,0.254488461543747,0.0304063048976782,0.03327787
Fragment,0.001925098,0.257537815659095,0.0384602555154913,0.040968577
Fragment,0.001806142,0.187543972882726,0.0231049291907564,0.027390244
Fragment,0.001619626,0.214639328769005,0.0250026236893257,0.026075619
Fragment,0.00167143,0.202405190566132,0.0238002592267148,0.027777778
Fragment,0.001826392,0.253169666550495,0.0321502770736576,0.033167496
Fragment,0.001937634,0.248310434563996,0.0330544299802278,0.03649635
Fragment,0.001899524,0.234553828848177,0.0304681714029935,0.035523979
Fragment,0.002021166,0.195021366732895,0.0266251409078435,0.037243948
Fragment,0.002182857,0.265850343081488,0.0367081841982724,0.034843206
Fragment,0.002329768,0.130855256526302,NaN,0.034482759
Fragment,0.002117852,0.134588424310743,NaN,0.029368576
Fragment,0.002273014,0.16659260114386,0.0212142664964781,0.034467532
Fragment,0.002436774,0.199939784530085,0.03140874716203,0.03968254
Fragment,0.002423198,0.134230751103771,NaN,0.034013605
Fragment,0.00226653,0.118843000909657,NaN,0.027855153
Fragment,0.002482053,0.122707246316342,NaN,0.031397174
Fragment,0.002614716,0.151271901409957,0.0098731157285786,0.044345898
Fragment,0.00251205,0.163366798250134,0.0205613585730642,0.044345898
Fragment,0.002440144,0.143672938321042,NaN,0.040194093
Fragment,0.001413932,0.0945662100959202,NaN,0.00773589
Fragment,0.001553735,0.0879068192107053,NaN,0.013368984
Fragment,0.001254669,0.0443114415037606,NaN,0.007533333
Fragment,0.001543662,0.0793352663891255,NaN,0.008774576
Fragment,0.001756348,0.0722279299163795,NaN,0.010498688
Fragment,0.001273567,0.0489875807777533,NaN,0.005050505
Fragment,0.001340718,0.0683668199216447,NaN,0.008067769
Fragment,0.001460707,0.113655451426952,NaN,0.009458571
Fragment,0.001401742,0.082059449697783,NaN,0.012746973
Fragment,0.001333964,0.0403310903939104,NaN,0.007447366
Fragment,0.001861531,0.107220069443889,NaN,0.008333333
Fragment,0.001665586,0.0456315373804487,NaN,0.011255167
Fragment,0.002097134,0.0898614867757904,NaN,0.009708738
Fragment,0.001676401,0.0558038712491293,NaN,0.011342228
Fragment,0.001678548,0.0704714414095899,NaN,0.007246084
Fragment,0.001949671,0.0512871107064204,NaN,0.009470987
Fragment,0.001758304,0.105668657626454,NaN,0.016420361
Fragment,0.001528301,0.0483983615783228,NaN,0.008992806
Fragment,0.001854533,0.0726679034915195,NaN,0.010557071
Fragment,0.002125587,0.0753086317329911,NaN,0.015029496
Fiber,0.001013252,0.160892412530852,0.0161903877813003,0.023337223
Fiber,0.001115229,0.105991518073727,NaN,0.020833333
Fiber,0.000953507,0.0264258750482728,NaN,0.019379845
Fiber,0.001606718,0.0610131429322852,NaN,0.022075055
Fiber,0.001139708,0.0804426690196195,NaN,0.01552795
Fiber,0.00127934,0.0906309833697501,NaN,0.024479804
Fiber,0.001166456,0.0384028262485808,NaN,0.015686275
Fiber,0.001132822,0.101822681080993,NaN,0.019029496
Fiber,0.00139375,0.0650769201262723,NaN,0.021762786
Fiber,0.000849713,0.0530229679737175,NaN,0.007996801
Fiber,0.001122332,0.143028233943849,NaN,0.015686275
Fiber,0.001254411,0.0965182890396402,NaN,0.024783147
Fiber,0.000643719,0.0290840491762431,NaN,0.010559662
Fiber,0.000943625,0.0200220957343447,NaN,0.013333333
Fiber,0.00116318,0.119379934430812,NaN,0.018796992
Fiber,0.001431618,0.0439150290920783,NaN,0.017761989
Fiber,0.0014051,0.0436389604120962,NaN,0.020639835
Fiber,0.001228451,0.0385709927742405,NaN,0.018198362
Fiber,0.001204416,0.0840716054670816,NaN,0.020408163
Fiber,0.001078273,0.045175818450955,NaN,0.017777778
Film,0.00130241,0.048169199186071,NaN,0.01532567
Film,0.000945978,0.0223643536534301,NaN,0.008028904
Film,0.001036934,0.0185341882204163,NaN,0.009560229
Film,0.001172154,0.0275033743897306,NaN,0.010012931
Film,0.001073998,0.0251990279684804,NaN,0.009225092
Film,0.000938224,0.0213265269533733,NaN,0.008853475
Film,0.001010671,0.0183347474356736,NaN,0.009157509
Film,0.000897379,0.0343755488451446,NaN,0.008949774
Film,0.000823015,0.0209671757639281,NaN,0.007160412
Film,0.000756879,0.0257800383351599,NaN,0.00697107
Film,0.001130627,0.0143233734957769,NaN,0.008420738
Film,0.001356902,0.0116751017316804,NaN,0.008932711
Film,0.001447857,0.0124159703336139,NaN,0.009277492
Film,0.001788325,0.0211708167511635,NaN,0.015710919
Film,0.001224851,0.0125814610362707,NaN,0.009066183
Film,0.001874491,0.0434160081290088,NaN,0.019880716
Film,0.001748718,0.0298420743446279,NaN,0.013218771
Film,0.001980079,0.0134642315771924,NaN,0.014164306
Film,0.001965935,0.0256010102927596,NaN,0.015452251
Film,0.001470483,0.0155493260357608,NaN,0.012091898
Film,0.000967263,0.00567731939183674,NaN,0.00664697
Film,0.000625814,0.00928665958310461,NaN,0.005163956
Film,0.000697517,0.00794968205678084,NaN,0.005817336
Film,0.00074577,0.00999245482903146,NaN,0.006118079
Film,0.000722449,0.010860256667736,NaN,0.005899705
Film,0.000788476,0.00695688471649791,NaN,0.006830836
Film,0.000836086,0.00633914708132321,NaN,0.005132153
Film,0.000656389,0.00922300864777753,NaN,0.004539265
Film,0.000641466,0.0112522013393101,NaN,0.005502063
Film,0.000808196,0.00741861673206967,NaN,0.006805036
Film,0.001112342,0.0106031251826439,NaN,0.008503401
Film,0.001091642,0.0138611083160537,NaN,0.00856898
Film,0.001096891,0.0611262058652282,NaN,0.007538636
Film,0.001142018,0.00463712585471378,NaN,0.006928904
Film,0.001132298,0.00564446175617915,NaN,0.008421053
Film,0.000960498,0.0065147011520963,NaN,0.007412898
Film,0.001453873,0.00769063045859797,NaN,0.00911577
Film,0.001312777,0.038718372041844,NaN,0.006785004
Film,0.001096891,0.00634608923266282,NaN,0.006874283
Film,0.001080991,0.00492837454896964,NaN,0.00669344
