Shape,ESD,CSF,Wt,Wt_Meas,Time
Fragment,0.001700925,0.179853784100379,0.0051166746298777,0.040572985,0.009
Fragment,0.002086938,0.314547798915943,0.0109562302370079,0.056497175,0.0192
Fragment,0.000996582,0.0977562885497524,0.00235230934092282,0.01843318,0.0042
Fragment,0.001368883,0.217466712599566,0.00575169951948135,0.033613445,0.0102
Fragment,0.00194646,0.110425679175415,0.00501208788431678,0.039215686,0.0086
Fragment,0.001837442,0.614153320087042,0.0132630595655995,0.056497175,0.0236
Fragment,0.001903832,0.607812939702285,0.0123004095720582,0.05988024,0.0218
Fragment,0.002284278,0.737568823367241,0.024210428448333,0.089686099,0.0432
Fragment,0.001596692,0.133253919503848,0.0055111413132563,0.040733198,0.0096
Fragment,0.00168307,0.111830014655198,0.00452592567407467,0.032906643,0.0078
Fragment,0.001939073,0.0792132220091512,0.00403927255907973,0.03868472,0.007
Fragment,0.002212588,0.148827730530593,0.00485770357700992,0.037160643,0.0084
Fragment,0.001817967,0.101895842990547,0.00407628825044352,0.037174721,0.007
Fragment,0.002582853,0.358169503538659,0.0115883446616136,0.06779661,0.0202
Fragment,0.001762887,0.112834350130696,0.004135180515679,0.035735849,0.0072
Fragment,0.001474584,0.0657038766404651,0.00259402794772572,0.025247956,0.0044
Fragment,0.002184712,0.14238330576472,0.00546065306854927,0.037735849,0.0094
Fragment,0.002633403,0.592065410276255,0.0178275175095,0.084388186,0.0314
Fragment,0.002795438,0.62987610365005,0.0172889221209026,0.101010101,0.0304
Fragment,0.002720295,0.832775408553888,0.0230199383679855,0.104712042,0.0408
Fragment,0.001862402,0.331932435701896,0.00673894354747531,0.035273369,0.0188
Fragment,0.001823016,0.288073635876191,0.00705577205967403,0.035971223,0.0196
Fragment,0.001589028,0.244162329384844,0.00564331397598155,0.027020681,0.0158
Fragment,0.001887135,0.281534172714555,0.00764401186535526,0.035898305,0.0212
Fragment,0.001762689,0.227494364831381,0.00550152061480555,0.029895366,0.0154
Fragment,0.002326884,0.357770418917705,0.0112306152990477,0.045045045,0.0308
Fragment,0.001572976,0.151910544045107,0.00392073093568355,0.023557126,0.011
Fragment,0.001931166,0.203758372039665,0.00611303607118814,0.028409091,0.017
Fragment,0.002105099,0.254068514462169,0.00678533894079491,0.033167496,0.0188
Fragment,0.001903886,0.198345794339446,0.00551877051797316,0.030769231,0.0152
Fragment,0.003009733,0.194618364326994,0.0080772913991221,0.040241449,0.0216
Fragment,0.00252976,0.146375397879432,0.0052161335664864,0.035735849,0.014
Fragment,0.003482348,0.155076239361521,0.00755096493259175,0.046082949,0.02
Fragment,0.002552543,0.15210265891292,0.00504081806405492,0.033900369,0.0136
Fragment,0.00305554,0.139544326572798,0.0068233081097158,0.04,0.0182
Fragment,0.002679545,0.262446090574843,0.0101665765834744,0.0456621,0.0276
Fragment,0.002894656,0.107976997051811,0.00575208779905365,0.038910506,0.0154
Fragment,0.002893857,0.156845720807416,0.00647417598142222,0.03649635,0.0174
Fragment,0.002787807,0.184092479996992,0.00703435460701852,0.043103448,0.0188
Fragment,0.002904201,0.246427092654357,0.00832754817388544,0.04784689,0.0224
Fragment,0.001740289,0.254488461543747,0.00710618671841224,0.03327787,0.0196
Fragment,0.001925098,0.257537815659095,0.00917012775788225,0.040968577,0.0252
Fragment,0.001806142,0.187543972882726,0.00626845866336402,0.027390244,0.0174
Fragment,0.001619626,0.214639328769005,0.00546508643280179,0.026075619,0.0152
Fragment,0.00167143,0.202405190566132,0.00523089306894074,0.027777778,0.0146
Fragment,0.001826392,0.253169666550495,0.00686927561531135,0.033167496,0.019
Fragment,0.001937634,0.248310434563996,0.00763577187368291,0.03649635,0.021
Fragment,0.001899524,0.234553828848177,0.00810668332677469,0.035523979,0.0224
Fragment,0.002021166,0.195021366732895,0.00680889618853349,0.037243948,0.0186
Fragment,0.002182857,0.265850343081488,0.00806480672532575,0.034843206,0.022
Fragment,0.002329768,0.130855256526302,0.00461181409695224,0.034482759,0.0124
Fragment,0.002117852,0.134588424310743,0.00528402409141464,0.029368576,0.0144
Fragment,0.002273014,0.16659260114386,0.00611810960760775,0.034467532,0.0166
Fragment,0.002436774,0.199939784530085,0.00632021621881327,0.03968254,0.017
Fragment,0.002423198,0.134230751103771,0.00545831521220416,0.034013605,0.0146
Fragment,0.00226653,0.118843000909657,0.00489839970720496,0.027855153,0.0132
Fragment,0.002482053,0.122707246316342,0.00521661908397503,0.031397174,0.014
Fragment,0.002614716,0.151271901409957,0.00647521047927876,0.044345898,0.0174
Fragment,0.00251205,0.163366798250134,0.00656870714438998,0.044345898,0.0176
Fragment,0.002440144,0.143672938321042,0.00563222162019688,0.040194093,0.0152
Fragment,0.001413932,0.0945662100959202,0.00142373034298427,0.00773589,0.012
