Shape,ESD,CSF,Wt,Wt_Meas,Time
Fragment,0.001700925,0.179853784100379,0.03537142470387,0.040572985,0.0666
Fragment,0.002086938,0.314547798915943,0.0682281860336457,0.056497175,0.1292
Fragment,0.000996582,0.0977562885497524,0.0202125834671007,0.01843318,0.038
Fragment,0.001368883,0.217466712599566,0.0313098328395133,0.033613445,0.0592
Fragment,0.00194646,0.110425679175415,0.0406825720724233,0.039215686,0.0766
Fragment,0.001837442,0.614153320087042,0.0648642937705922,0.056497175,0.1236
Fragment,0.001903832,0.607812939702285,0.0691232238986037,0.05988024,0.1316
Fragment,0.002284278,0.737568823367241,0.114026170416537,0.089686099,0.2204
Fragment,0.001596692,0.133253919503848,0.0384057078194502,0.040733198,0.0726
Fragment,0.00168307,0.111830014655198,0.030734258687185,0.032906643,0.0574
Fragment,0.001939073,0.0792132220091512,0.0365250359460995,0.03868472,0.0684
Fragment,0.002212588,0.148827730530593,0.0290631314265477,0.037160643,0.0534
Fragment,0.001817967,0.101895842990547,0.0335613535975135,0.037174721,0.0628
Fragment,0.002582853,0.358169503538659,0.0690241306755446,0.06779661,0.13
Fragment,0.001762887,0.112834350130696,0.032007763505669,0.035735849,0.0598
Fragment,0.001474584,0.0657038766404651,0.0228604820702462,0.025247956,0.0424
Fragment,0.002184712,0.14238330576472,0.0345696678587268,0.037735849,0.0642
Fragment,0.002633403,0.592065410276255,0.102845114536144,0.084388186,0.1942
Fragment,0.002795438,0.62987610365005,0.0948339847751592,0.101010101,0.178
Fragment,0.002720295,0.832775408553888,0.11320061754284,0.104712042,0.2142
Fragment,0.001862402,0.331932435701896,0.0380732257155103,0.035273369,0.1114
Fragment,0.001823016,0.288073635876191,0.0392343631684454,0.035971223,0.1154
Fragment,0.001589028,0.244162329384844,0.0335532657969762,0.027020681,0.099
Fragment,0.001887135,0.281534172714555,0.0465710339216404,0.035898305,0.1382
Fragment,0.001762689,0.227494364831381,0.0344445374083081,0.029895366,0.1008
Fragment,0.002326884,0.357770418917705,0.0542510691036808,0.045045045,0.1592
Fragment,0.001572976,0.151910544045107,0.0234512017366685,0.023557126,0.0678
Fragment,0.001931166,0.203758372039665,0.0362259860832376,0.028409091,0.1054
Fragment,0.002105099,0.254068514462169,0.0368987395434028,0.033167496,0.1068
Fragment,0.001903886,0.198345794339446,0.0346145449225582,0.030769231,0.1006
Fragment,0.003009733,0.194618364326994,0.0487639542003038,0.040241449,0.1396
Fragment,0.00252976,0.146375397879432,0.0317565642605241,0.035735849,0.0906
Fragment,0.003482348,0.155076239361521,0.0534502381727229,0.046082949,0.1526
Fragment,0.002552543,0.15210265891292,0.0298336778201793,0.033900369,0.0848
Fragment,0.00305554,0.139544326572798,0.0402755870402042,0.04,0.1148
Fragment,0.002679545,0.262446090574843,0.0569276998494846,0.0456621,0.1652
Fragment,0.002894656,0.107976997051811,0.0448450122339672,0.038910506,0.1284
Fragment,0.002893857,0.156845720807416,0.0368993290355043,0.03649635,0.1052
Fragment,0.002787807,0.184092479996992,0.0508264852470054,0.043103448,0.1462
Fragment,0.002904201,0.246427092654357,0.056419400170174,0.04784689,0.1626
