Shape,ESD,CSF,Wt,Time,Wt_Meas
Fragment,0.001700925,0.179853784100379,0.00719119699206632,0.0122,0.040572985
Fragment,0.002086938,0.314547798915943,0.00819655417690194,0.014,0.056497175
Fragment,0.000996582,0.0977562885497524,0.00495890455794892,0.0084,0.01843318
Fragment,0.001368883,0.217466712599566,0.00586851388605624,0.01,0.033613445
Fragment,0.00194646,0.110425679175415,0.00863506035782576,0.0148,0.039215686
Fragment,0.001837442,0.614153320087042,0.00704648037187025,0.012,0.056497175
Fragment,0.001903832,0.607812939702285,0.00754675138354241,0.0128,0.05988024
Fragment,0.002284278,0.737568823367241,0.00839202672922826,0.0144,0.089686099
Fragment,0.001596692,0.133253919503848,0.00684717652260771,0.0116,0.040733198
Fragment,0.00168307,0.111830014655198,0.00704337240949015,0.012,0.032906643
Fragment,0.001939073,0.0792132220091512,0.00884435509813176,0.0152,0.03868472
Fragment,0.002212588,0.148827730530593,0.00874729973054346,0.015,0.037160643
Fragment,0.001817967,0.101895842990547,0.00801190149818022,0.0136,0.037174721
Fragment,0.002582853,0.358169503538659,0.0102956279303245,0.0176,0.06779661
Fragment,0.001762887,0.112834350130696,0.00772640280408526,0.0132,0.035735849
Fragment,0.001474584,0.0657038766404651,0.00679286106574082,0.0116,0.025247956
Fragment,0.002184712,0.14238330576472,0.00848340033737958,0.0146,0.037735849
Fragment,0.002633403,0.592065410276255,0.0101257568852913,0.0174,0.084388186
Fragment,0.002795438,0.62987610365005,0.0105293435905961,0.018,0.101010101
Fragment,0.002720295,0.832775408553888,0.010177601024714,0.0174,0.104712042
Fragment,0.001862402,0.331932435701896,0.00441752794992923,0.0114,0.035273369
Fragment,0.001823016,0.288073635876191,0.00433313835458985,0.0112,0.035971223
Fragment,0.001589028,0.244162329384844,0.00375849499706381,0.0096,0.027020681
Fragment,0.001887135,0.281534172714555,0.00441647556328523,0.0114,0.035898305
Fragment,0.001762689,0.227494364831381,0.00418504070485073,0.0108,0.029895366
Fragment,0.002326884,0.357770418917705,0.00479149298852953,0.0124,0.045045045
Fragment,0.001572976,0.151910544045107,0.00371628046031281,0.0094,0.023557126
Fragment,0.001931166,0.203758372039665,0.0043273667989139,0.011,0.028409091
Fragment,0.002105099,0.254068514462169,0.00456654636486801,0.0118,0.033167496
Fragment,0.001903886,0.198345794339446,0.00442152863070934,0.0114,0.030769231
Fragment,0.003009733,0.194618364326994,0.0065288592126666,0.017,0.040241449
Fragment,0.00252976,0.146375397879432,0.00627334599144816,0.0162,0.035735849
Fragment,0.003482348,0.155076239361521,0.00798598098130279,0.0208,0.046082949
Fragment,0.002552543,0.15210265891292,0.00658612124549085,0.017,0.033900369
Fragment,0.00305554,0.139544326572798,0.00671750075482009,0.0174,0.04
