Shape,ESD,CSF,Wt,Time,Wt_Meas
Fragment,0.002482053,0.122707246316342,0.00203753924206544,0.005,0.031397174
Fragment,0.002614716,0.151271901409957,0.00244885421652851,0.006,0.044345898
Fragment,0.00251205,0.163366798250134,0.00235272322787971,0.0058,0.044345898
Fragment,0.002440144,0.143672938321042,0.00202510093438838,0.005,0.040194093
Fragment,0.001413932,0.0945662100959202,0.000660392169156547,0.0046,0.00773589
Fragment,0.001553735,0.0879068192107053,0.000772868982639811,0.0056,0.013368984
Fragment,0.001254669,0.0443114415037606,0.000519837071854891,0.0036,0.007533333
Fragment,0.001543662,0.0793352663891255,0.000747420601338921,0.0054,0.008774576
Fragment,0.001756348,0.0722279299163795,0.000791448929907923,0.0056,0.010498688
Fragment,0.001273567,0.0489875807777533,0.000482920409964173,0.0032,0.005050505
Fragment,0.001340718,0.0683668199216447,0.000574533969848883,0.004,0.008067769
Fragment,0.001460707,0.113655451426952,0.00075694811171397,0.0054,0.009458571
Fragment,0.001401742,0.082059449697783,0.000723661084721617,0.0052,0.012746973
Fragment,0.001333964,0.0403310903939104,0.000531544402972261,0.0036,0.007447366
Fragment,0.001861531,0.107220069443889,0.000718328309124788,0.005,0.008333333
Fragment,0.001665586,0.0456315373804487,0.000732512077744471,0.0052,0.011255167
Fragment,0.002097134,0.0898614867757904,0.000873020232314915,0.0062,0.009708738
Fragment,0.001676401,0.0558038712491293,0.000727657394151168,0.0052,0.011342228
Fragment,0.001678548,0.0704714414095899,0.000698704746928072,0.005,0.007246084
Fragment,0.001949671,0.0512871107064204,0.000840078200516467,0.006,0.009470987
Fragment,0.001758304,0.105668657626454,0.000918710556612233,0.0066,0.016420361
Fragment,0.001528301,0.0483983615783228,0.000673004800791953,0.0048,0.008992806
Fragment,0.001854533,0.0726679034915195,0.000776867629347642,0.0056,0.010557071
Fragment,0.002125587,0.0753086317329911,0.000877897435284925,0.0064,0.015029496
Fiber,0.001013252,0.160892412530852,0.00147765859594025,0.0018,0.023337223
Fiber,0.001115229,0.105991518073727,0.00140953941927071,0.0018,0.020833333
Fiber,0.000953507,0.0264258750482728,0.000894796291833777,0.0008,0.019379845
Fiber,0.001606718,0.0610131429322852,0.00161549583258966,0.002,0.022075055
Fiber,0.001139708,0.0804426690196195,0.00102245658006885,0.001,0.01552795
Fiber,0.00127934,0.0906309833697501,0.00173313822356312,0.0022,0.024479804
Fiber,0.001166456,0.0384028262485808,0.00121429466010522,0.0014,0.015686275
Fiber,0.001132822,0.101822681080993,0.00138642463991826,0.0016,0.019029496
Fiber,0.00139375,0.0650769201262723,0.00150538192787061,0.002,0.021762786
Fiber,0.000849713,0.0530229679737175,0.000772423696791966,0.0008,0.007996801
Fiber,0.001122332,0.143028233943849,0.0011451767263083,0.001,0.015686275
Fiber,0.001254411,0.0965182890396402,0.0016122121462969,0.002,0.024783147
Fiber,0.000643719,0.0290840491762431,0.000606118090236626,0.0006,0.010559662
Fiber,0.000943625,0.0200220957343447,0.000726051843007463,0.0008,0.013333333
Fiber,0.00116318,0.119379934430812,0.00157021373546788,0.002,0.018796992
Fiber,0.001431618,0.0439150290920783,0.00138086721255031,0.0016,0.017761989
Fiber,0.0014051,0.0436389604120962,0.00141588734224527,0.0018,0.020639835
Fiber,0.001228451,0.0385709927742405,0.00116841666368028,0.0012,0.018198362
Fiber,0.001204416,0.0840716054670816,0.00120412057201573,0.0012,0.020408163
Fiber,0.001078273,0.045175818450955,0.00104604388309969,0.001,0.017777778
Film,0.00130241,0.048169199186071,0.000962722130822191,0.0022,0.01532567
Film,0.000945978,0.0223643536534301,0.000610233530377016,0.001,0.008028904
Film,0.001036934,0.0185341882204163,0.000636820647715225,0.001,0.009560229
Film,0.001172154,0.0275033743897306,0.000729019360279899,0.0014,0.010012931
Film,0.001073998,0.0251990279684804,0.00069723619882211,0.0014,0.009225092
Film,0.000938224,0.0213265269533733,0.000630068122236186,0.001,0.008853475
Film,0.001010671,0.0183347474356736,0.000660281826559046,0.0012,0.009157509
Film,0.000897379,0.0343755488451446,0.00054272155104498,0.0008,0.008949774
Film,0.000823015,0.0209671757639281,0.000455767315552467,0.0008,0.007160412
Film,0.000756879,0.0257800383351599,0.00050789286880631,0.0008,0.00697107
Film,0.001130627,0.0143233734957769,0.00060918007766211,0.001,0.008420738
Film,0.001356902,0.0116751017316804,0.00068667899896765,0.0012,0.008932711
Film,0.001447857,0.0124159703336139,0.000721311755928436,0.0014,0.009277492
Film,0.001788325,0.0211708167511635,0.00111226793790624,0.0026,0.015710919
Film,0.001224851,0.0125814610362707,0.00070501207853267,0.0014,0.009066183
Film,0.001874491,0.0434160081290088,0.00130242815465603,0.003,0.019880716
Film,0.001748718,0.0298420743446279,0.000963923924005478,0.0022,0.013218771
Film,0.001980079,0.0134642315771924,0.00111057287362095,0.0026,0.014164306
Film,0.001965935,0.0256010102927596,0.00120029967280188,0.0028,0.015452251
Film,0.001470483,0.0155493260357608,0.000893333005733704,0.002,0.012091898
Film,0.000967263,0.00567731939183674,0.000478862493076906,0.0006,0.00664697
Film,0.000625814,0.00928665958310461,0.000273041087800596,0.0006,0.005163956
Film,0.000697517,0.00794968205678084,0.000395972171834902,0.0006,0.005817336
Film,0.00074577,0.00999245482903146,0.000454302056310502,0.0006,0.006118079
Film,0.000722449,0.010860256667736,0.000487569921143751,0.0006,0.005899705
Film,0.000788476,0.00695688471649791,0.000552244407999404,0.0008,0.006830836
Film,0.000836086,0.00633914708132321,0.000383606856502113,0.0006,0.005132153
Film,0.000656389,0.00922300864777753,0.000301383562380671,0.0006,0.004539265
Film,0.000641466,0.0112522013393101,0.000377517938353192,0.0006,0.005502063
Film,0.000808196,0.00741861673206967,0.000453831060452579,0.0006,0.006805036
Film,0.001112342,0.0106031251826439,0.000673185185876525,0.0008,0.008503401
Film,0.001091642,0.0138611083160537,0.00072671177506641,0.0008,0.00856898
Film,0.001096891,0.0611262058652282,0.000431295389591916,0.0006,0.007538636
Film,0.001142018,0.00463712585471378,0.00054827287600593,0.0008,0.006928904
Film,0.001132298,0.00564446175617915,0.000643356576342776,0.0008,0.008421053
Film,0.000960498,0.0065147011520963,0.000523423734266666,0.0008,0.007412898
Film,0.001453873,0.00769063045859797,0.000776656711451623,0.001,0.00911577
Film,0.001312777,0.038718372041844,0.000443425806890704,0.0006,0.006785004
Film,0.001096891,0.00634608923266282,0.000585221459384821,0.0008,0.006874283
Film,0.001080991,0.00492837454896964,0.000546452702586795,0.0008,0.00669344
