ESD,ParticleDensity,CSF,Timestep,Wt,Time,Wt_Meas
0.00705,2567,0.707187612385366,0.0005,0.0357205301904,0.059,0.107
0.00757,2400,0.655955398691104,0.0005,0.038851118799328,0.068,0.105
0.00773,2567,0.502769653223077,0.0005,0.0430475134015124,0.0715,0.107
0.0028,1414,0.688582850108405,0.0005,0.0109892934893243,0.048,0.025
0.00956,2037,0.814516129032258,0.0005,0.0324685057351405,0.0685,0.098
0.0104,1815,0.776899705924871,0.0005,0.0306109374443001,0.078,0.093
0.00971,2033,0.717856968658089,0.0005,0.0383839911371792,0.0815,0.107
0.00233,1658,0.760204214511597,0.0005,0.0182322301716427,0.0495,0.036
0.00244,1477,0.714782916204351,0.0005,0.0129914398200304,0.048,0.035
0.0104,2310,0.755540362734973,0.0005,0.0599262098726891,0.1095,0.137
0.00246,1895,0.586588460085413,0.0005,0.0268993274940266,0.0585,0.044
0.00288,1467,0.739221270954573,0.0005,0.0192384725932966,0.0735,0.038
0.00353,1478,0.699835522566721,0.0005,0.0259295755283537,0.0965,0.044
0.00377,1563,0.688785752709426,0.0005,0.0369360200894345,0.117,0.047
0.00258,1889,0.75,0.0005,0.0377064505253853,0.0825,0.074
0.00378,1521,0.493325468622035,0.0005,0.0304712066874691,0.104,0.052
0.00271,2114,0.726439367623203,0.0005,0.0510150106603561,0.097,0.082
0.00276,2008,0.699867712367712,0.0005,0.0501984965336526,0.1015,0.088
0.00411,1515,0.749482066709711,0.0005,0.0394018949831116,0.136,0.061
0.00438,1473,0.678902858227222,0.0005,0.038114220033395,0.144,0.062
0.00338,2172,0.337572595485915,0.0005,0.0518752741449195,0.096,0.082
0.00306,2137,0.550160642915358,0.0005,0.0721292737008025,0.136,0.093
0.00426,1552,0.568257125703863,0.0005,0.0421396789556628,0.136,0.068
0.00374,1903,0.528275662545886,0.0005,0.056083032714675,0.1215,0.082
0.00314,2039,0.677738993669886,0.0005,0.0752999545133126,0.1495,0.109
0.00335,2086,0.666512429833949,0.0005,0.0730300616468398,0.1415,0.103
0.00306,2005,0.747900286608902,0.0005,0.0677865750328251,0.1375,0.115
0.00315,2270,0.604273320753462,0.0005,0.080044247901741,0.142,0.113
0.00342,2095,0.554478194519527,0.0005,0.0614709597125477,0.118,0.105
0.00435,1676,0.55703155220904,0.0005,0.0587142957933623,0.1585,0.084
0.00344,1975,0.725497343002635,0.0005,0.0790439037928893,0.1635,0.115
0.00371,1913,0.722890091159127,0.0005,0.0697423741531975,0.1505,0.109
0.00341,2119,0.812229188103475,0.0005,0.0903018813172945,0.172,0.123
0.00315,2512,0.86602999816897,0.0005,0.103362748875174,0.168,0.139
0.00395,2073,0.604288664714616,0.0005,0.10327935213913,0.2015,0.121
0.00563,1399,0.574776329480973,0.0005,0.0451336104276538,0.2085,0.085
0.00383,2114,0.56739192107851,0.0005,0.0949936080495021,0.1815,0.126
0.00337,2446,0.750501714898378,0.0005,0.122201240620191,0.2035,0.145
0.00516,1624,0.450690771977529,0.0005,0.0788979289300166,0.228,0.101
0.00353,2478,0.910025594829787,0.0005,0.12222577868443,0.2015,0.15
0.00434,2123,0.624926299509465,0.0005,0.0909328196521126,0.1725,0.125
0.00498,1749,0.585714285714286,0.0005,0.0873211338517046,0.2175,0.111
0.00487,1672,0.835135000853352,0.0005,0.0899114949137483,0.244,0.115
0.00382,2356,0.575417774232696,0.0005,0.124582954626344,0.214,0.148
0.0051,1668,0.765952756705411,0.0005,0.077666716949608,0.2115,0.115
0.00409,2151,0.786470757212861,0.0005,0.0991989126645991,0.186,0.143
0.00489,1729,0.597666043925739,0.0005,0.0951829053068806,0.242,0.121
0.0038,2305,0.671253404466227,0.0005,0.128668683106848,0.2255,0.156
0.00426,2078,0.782005335016136,0.0005,0.119001605379891,0.232,0.148
0.00388,2448,0.811069932284017,0.0005,0.127699268660616,0.2125,0.164
0.00412,2100,0.610714593072965,0.0005,0.130605290892277,0.2515,0.164
0.00525,1804,0.791832624176188,0.0005,0.108513129481082,0.2565,0.129
0.00527,1701,0.623741391874104,0.0005,0.0907178929564865,0.238,0.129
0.00458,2167,0.698861969137964,0.0005,0.155045411059087,0.289,0.164
0.00502,2139,0.401729907815845,0.0005,0.137206712855759,0.259,0.15
0.00451,2167,0.70908905940371,0.0005,0.157142146826887,0.2925,0.17
0.00528,2000,0.504021734055511,0.0005,0.123887075087036,0.2525,0.146
0.00321,927,0.623064166217157,0.0005,0.0746907792756564,0.439,0.041
0.00445,2233,0.823432929414059,0.0005,0.160848357336091,0.2905,0.183
0.00374,2818,0.807850566980291,0.0005,0.205331283628149,0.309,0.217
0.00546,1945,0.72201333654259,0.0005,0.143138878839952,0.303,0.155
0.00497,2167,0.700345950959967,0.0005,0.189047225146924,0.3525,0.174
0.00526,1933,0.775329841832728,0.0005,0.158505728526202,0.338,0.166
0.00475,2367,0.642372330965134,0.0005,0.18976485039816,0.325,0.193
0.00581,1870,0.558620387730928,0.0005,0.158973646093899,0.3555,0.158
0.00557,2049,0.642980598579048,0.0005,0.148500919569365,0.2945,0.166
0.00475,2626,0.51263005695099,0.0005,0.230600236275232,0.3645,0.203
0.00466,2300,0.77814142618583,0.0005,0.208438066425499,0.3665,0.213
0.00404,866,0.477526657424681,0.0005,0.0560652633388897,0.598,0.0414
0.00473,2694,0.53478634258181,0.0005,0.246160402050245,0.382,0.215
0.00561,2073,0.683559529159116,0.0005,0.157081658788596,0.307,0.182
0.00556,2167,0.625916731459938,0.0005,0.211455318794677,0.394,0.193
0.00488,2400,0.65296325032182,0.0005,0.232915067877338,0.3945,0.226
0.00526,2400,0.671240396613534,0.0005,0.250236556985132,0.424,0.221
0.00664,1931,0.589958343832535,0.0005,0.203908250030579,0.436,0.178
0.00607,2200,0.365485551404663,0.0005,0.255914809569074,0.47,0.197
0.00224,1245,0.594843005410295,0.0005,0.11517685069772,0.451,0.04
