Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.0393430751820004,0.040572985,0.0744,0.00249088754664274,0.0002,70.56401359,93.7422081911076,5.000583972,27.0759741618304
Fragment,0.002086938,0.314547798915943,0.0625679969659968,0.056497175,0.1164,0.00619773945022057,0.0002,120.5583645,182.912552882972,3.164211244,13.6546886040851
Fragment,0.000996582,0.0977562885497524,0.0213557345812804,0.01843318,0.0426,0.000775053072155214,0.0002,18.78341076,29.8132461475049,14.19456233,43.8944553941867
Fragment,0.001368883,0.217466712599566,0.0379650135215133,0.033613445,0.0742,0.00240333460069892,0.0002,47.04791549,72.800037216755,5.863401305,21.3210672418598
Fragment,0.00194646,0.110425679175415,0.0389618793574154,0.039215686,0.0716,0.00236890796255846,0.0002,78.04884112,106.234870532544,6.125412255,33.5766351796541
Fragment,0.001837442,0.614153320087042,0.0733710483768776,0.056497175,0.1416,0.00886893748510862,0.0002,106.1454753,188.851342376522,2.785926202,8.00032837403056
Fragment,0.001903832,0.607812939702285,0.0721569237537715,0.05988024,0.138,0.00849516644005363,0.0002,116.5663892,192.436896559986,2.569632877,8.81918332186794
Fragment,0.002284278,0.737568823367241,0.111306688858465,0.089686099,0.2132,0.0202608282060293,0.0002,209.476473,356.165568751293,1.374384276,4.43766171283265
Fragment,0.001596692,0.133253919503848,0.0377525951781596,0.040733198,0.0718,0.0023075666280973,0.0002,66.50141243,84.4402815739082,4.657294292,27.2681110570926
Fragment,0.00168307,0.111830014655198,0.0351235537076715,0.032906643,0.0664,0.00198362096351663,0.0002,56.63006065,82.8099155093209,7.522195588,33.5444799720021
Fragment,0.001939073,0.0792132220091512,0.0346442315555421,0.03868472,0.0634,0.00186352681485951,0.0002,76.69989409,94.1037227000885,6.270825697,42.4911755525584
Fragment,0.002212588,0.148827730530593,0.041940628364137,0.037160643,0.077,0.0027427872808319,0.0002,84.07075934,129.992171280573,7.754318723,32.9935865821144
Fragment,0.001817967,0.101895842990547,0.0347965794489265,0.037174721,0.0646,0.00190905713631013,0.0002,69.10268019,88.6143920418265,6.366489908,38.4047569189084
Fragment,0.002582853,0.358169503538659,0.0709867530440641,0.06779661,0.128,0.00771699530031801,0.0002,179.0477572,256.83766548299,2.719526337,13.8014273596099
Fragment,0.001762887,0.112834350130696,0.0349291832577538,0.035735849,0.0654,0.00194188495205485,0.0002,64.4153994,86.2570534022753,6.680757556,36.5208114938657
Fragment,0.001474584,0.0657038766404651,0.0257041499774685,0.025247956,0.0492,0.00107539256883561,0.0002,38.06772521,53.0951040468448,11.1950633,53.1969331591755
Fragment,0.002184712,0.14238330576472,0.0432576290312366,0.037735849,0.0796,0.00292517261292628,0.0002,84.29647367,132.384950811293,7.424981092,30.5012098180207
Fragment,0.002633403,0.592065410276255,0.0958687735610236,0.084388186,0.1758,0.0143394847107542,0.0002,227.2271198,353.652074422935,1.789631179,7.54925254916736
Fragment,0.002795438,0.62987610365005,0.098079210785129,0.101010101,0.1784,0.0148783880169003,0.0002,288.7193467,384.068367473518,1.325958076,7.74546648760802
Fragment,0.002720295,0.832775408553888,0.120388178273798,0.104712042,0.2238,0.02295290575598,0.0002,291.2552583,458.75578977682,1.200693646,4.83089691152821
Fragment,0.001862402,0.331932435701896,0.0365662734945528,0.035273369,0.1122,0.00348363420132176,0.0002,42.43468715,53.0108324171216,4.014904573,14.3383908298815
Fragment,0.001823016,0.288073635876191,0.0358766329562842,0.035971223,0.1102,0.0033569957495094,0.0002,42.35905822,50.9111197563145,3.778989772,14.4607648189257
Fragment,0.001589028,0.244162329384844,0.0295062687257681,0.027020681,0.0918,0.00230068729939554,0.0002,27.7350146,36.4969300049819,5.837603088,17.1050195428415
Fragment,0.001887135,0.281534172714555,0.037544902191233,0.035898305,0.115,0.00366566720283705,0.0002,43.76003465,55.152402816691,3.927813493,13.880734001135
Fragment,0.001762689,0.227494364831381,0.0309142393560998,0.029895366,0.095,0.00249287209754688,0.0002,34.03926738,42.417468972084,5.290096612,18.7198300305507
Fragment,0.002326884,0.357770418917705,0.050972755836555,0.045045045,0.1546,0.00668938263064396,0.0002,67.70525074,92.3258551695594,3.075929004,9.82055964763499
Fragment,0.001572976,0.151910544045107,0.0240137878553937,0.023557126,0.0746,0.00152067642527365,0.0002,23.93563716,29.4031092324413,7.602792007,25.788375641321
Fragment,0.001931166,0.203758372039665,0.0331585784762506,0.028409091,0.1012,0.00284734725067809,0.0002,35.43868486,49.8455051776835,6.41801341,18.5051336151649
Fragment,0.002105099,0.254068514462169,0.0373851799372133,0.033167496,0.1136,0.00360389009230549,0.0002,45.1009592,61.2607756871764,5.132663125,16.3655908725919
Fragment,0.001903886,0.198345794339446,0.0316965669268395,0.030769231,0.0966,0.00259766060746557,0.0002,37.84061887,46.9746613402366,5.393905662,20.1482614648914
Fragment,0.003009733,0.194618364326994,0.0464843922511713,0.040241449,0.1342,0.00527543353070487,0.0002,78.23520109,108.904448156023,4.985129165,18.4955424444324
Fragment,0.00252976,0.146375397879432,0.0352642498678168,0.035735849,0.1026,0.00305968050272288,0.0002,58.39612919,69.4423585329674,5.31332986,26.2934950126793
Fragment,0.003482348,0.155076239361521,0.0469768164081985,0.046082949,0.1316,0.00521601722783333,0.0002,103.6604469,127.340409466488,4.398324944,22.5078093331881
Fragment,0.002552543,0.15210265891292,0.0353456696292473,0.033900369,0.1024,0.00306007122443116,0.0002,55.89565457,70.2295316402374,5.957441725,26.8343855193327
Fragment,0.00305554,0.139544326572798,0.041932063273625,0.04,0.1202,0.00425889918643509,0.0002,78.94936371,99.7343352228681,5.122284464,23.4707089048919
Fragment,0.002679545,0.262446090574843,0.0502017661634416,0.0456621,0.1482,0.00630309405139313,0.0002,79.03464949,104.710574588493,3.447028777,13.1304737099728
Fragment,0.002894656,0.107976997051811,0.0373967933197705,0.038910506,0.1068,0.00337304945969569,0.0002,72.75526401,84.2639503352162,5.128127612,28.2045115995439
Fragment,0.002893857,0.156845720807416,0.0405937686058798,0.03649635,0.1178,0.00404415594792073,0.0002,68.22243129,91.4422555090378,5.827387715,22.886949107017
