Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.00947413417740762,0.040572985,0.0196,0.000157539165402594,0.0002,70.56401359,22.5738901796714,5.000583972,27.6771309280806
Fragment,0.002086938,0.314547798915943,0.0223397551011857,0.056497175,0.0448,0.000853195944350902,0.0002,120.5583645,65.3084937105939,3.164211244,13.6461555905789
Fragment,0.000996582,0.0977562885497524,0.00355257723740254,0.01843318,0.0076,2.24745545222654e-05,0.0002,18.78341076,4.95950440073107,14.19456233,49.8434498356829
Fragment,0.001368883,0.217466712599566,0.0101437150629475,0.033613445,0.0212,0.000182614197864502,0.0002,47.04791549,19.4511410796753,5.863401305,22.1928584244356
Fragment,0.00194646,0.110425679175415,0.00990516746385122,0.039215686,0.02,0.000167813490040875,0.0002,78.04884112,27.0077881375382,6.125412255,33.6204462473608
Fragment,0.001837442,0.614153320087042,0.0251337985609509,0.056497175,0.052,0.00111757349228226,0.0002,106.1454753,64.692432536544,2.785926202,8.14237072678048
Fragment,0.001903832,0.607812939702285,0.0235960886109981,0.05988024,0.0486,0.00098000612224012,0.0002,116.5663892,62.9289308223534,2.569632877,8.94322523658664
Fragment,0.002284278,0.737568823367241,0.0485747587073311,0.089686099,0.0986,0.00409964002345816,0.0002,209.476473,155.432317135518,1.374384276,4.46277140202987
Fragment,0.001596692,0.133253919503848,0.0103301088171755,0.040733198,0.0212,0.000185783760151657,0.0002,66.50141243,23.1050949767829,4.657294292,27.7972969643394
Fragment,0.00168307,0.111830014655198,0.00834698898509398,0.032906643,0.0172,0.000121511155436029,0.0002,56.63006065,19.6794851217431,7.522195588,34.3326864524769
Fragment,0.001939073,0.0792132220091512,0.00787904688742746,0.03868472,0.0158,0.000104965228010196,0.0002,76.69989409,21.4017632992312,6.270825697,42.6203296437761
Fragment,0.002212588,0.148827730530593,0.00942915462779515,0.037160643,0.0192,0.000153400964001147,0.0002,84.07075934,29.2250338446396,7.754318723,33.140862511747
Fragment,0.001817967,0.101895842990547,0.00768584284286658,0.037174721,0.0156,0.00010116151813956,0.0002,69.10268019,19.5730816544572,6.366489908,38.9558744839146
Fragment,0.002582853,0.358169503538659,0.0247823271127071,0.06779661,0.0486,0.00102568061202665,0.0002,179.0477572,89.6651102905426,2.719526337,13.6212330178256
Fragment,0.001762887,0.112834350130696,0.00770943095797979,0.035735849,0.0158,0.000102919694527795,0.0002,64.4153994,19.0383151228135,6.680757556,37.1955115664227
Fragment,0.001474584,0.0657038766404651,0.00440459896431729,0.025247956,0.0092,3.38966951675986e-05,0.0002,38.06772521,9.0982444663624,11.1950633,56.2262851824935
Fragment,0.002184712,0.14238330576472,0.0107205929450763,0.037735849,0.0216,0.000196202646950126,0.0002,84.29647367,32.8091298919082,7.424981092,30.5880885288119
Fragment,0.002633403,0.592065410276255,0.0378300397314705,0.084388186,0.0748,0.0024160075584963,0.0002,227.2271198,139.55192634253,1.789631179,7.48890705929207
Fragment,0.002795438,0.62987610365005,0.0368885565327934,0.101010101,0.0726,0.00228526828035328,0.0002,288.7193467,144.451893246195,1.325958076,7.66442360756789
Fragment,0.002720295,0.832775408553888,0.0478819529551596,0.104712042,0.0958,0.00392291162755706,0.0002,291.2552583,182.460798551527,1.200693646,4.81492833240975
Fragment,0.001862402,0.331932435701896,0.0108457728276672,0.035273369,0.0354,0.000325755964800431,0.0002,42.43468715,15.7233261925716,4.014904573,15.4824469774245
Fragment,0.001823016,0.288073635876191,0.0114618882560812,0.035971223,0.0372,0.000361630351272734,0.0002,42.35905822,16.2651151335714,3.778989772,15.5183989542435
Fragment,0.001589028,0.244162329384844,0.00862554581052112,0.027020681,0.0286,0.00020920937442181,0.0002,27.7350146,10.6691206749036,5.837603088,18.981082347814
Fragment,0.001887135,0.281534172714555,0.0126415419352435,0.035898305,0.041,0.000440025740632481,0.0002,43.76003465,18.5700687002841,3.927813493,14.765435521012
Fragment,0.001762689,0.227494364831381,0.00870309342004089,0.029895366,0.0284,0.000209292751735568,0.0002,34.03926738,11.9415260667862,5.290096612,20.4136870504527
Fragment,0.002326884,0.357770418917705,0.0196177813362587,0.045045045,0.0626,0.00104337799739608,0.0002,67.70525074,35.5332649505403,3.075929004,10.2209464150654
