ID,Shape,ParticleDensity,ParticleSize,a,b,c,Flatness,elongation,Sphericity,Dellino,Circularity,DynamicViscosity,FluidDensity,KinematicViscosity,Powers
CPP_02,Fiber,1432,0.001115229,0.00754,0.00068,0.00024,0.352941176,0.090185676,0.430868807,0.105993727,0.246,0.001041,1050.3,9.91145387032277e-07,0.78
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.000948,1019.8,9.29594038046676e-07,1.5
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.000959,1023.6,9.36889409925752e-07,1.5
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.00097,1027.4,9.44130815651158e-07,1.5
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.000993,1035,9.59420289855072e-07,1.5
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.001016,1042.6,9.74486859773643e-07,1.5
BSW_12,Film,1400,0.001356902,0.00836,0.0043,7e-05,0.01627907,0.514354067,0.10133224,0.061002008,0.602,0.001041,1050.3,9.91145387032277e-07,1.5
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.000948,1019.8,9.29594038046676e-07,1.14
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.000959,1023.6,9.36889409925752e-07,1.14
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.00097,1027.4,9.44130815651158e-07,1.14
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.000993,1035,9.59420289855072e-07,1.14
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.001016,1042.6,9.74486859773643e-07,1.14
FPS_02,Film,1400,0.000625814,0.004132,0.001897,2.6e-05,0.013705851,0.45909971,0.098882791,0.050331341,0.509,0.001041,1050.3,9.91145387032277e-07,1.14
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.000948,1019.8,9.29594038046676e-07,1.56
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.000959,1023.6,9.36889409925752e-07,1.56
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.00097,1027.4,9.44130815651158e-07,1.56
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.000993,1035,9.59420289855072e-07,1.56
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.001016,1042.6,9.74486859773643e-07,1.56
FPS_19,Film,1400,0.001096891,0.00697,0.0057,4e-05,0.007017544,0.817790531,0.059960869,0.03729566,0.622,0.001041,1050.3,9.91145387032277e-07,1.56
