Row,Stokes_Proj,Stokes_SA,Dio_Proj,Dio_SA,BB_Proj,BB_SA,Zhang_Proj,Zhang_SA,Dietrich,Francalanci,Yu
All_AE,1171.18952532317,11.1812360706302,-1.46783158373878,-75.4571913021937,8.96663491911354,-77.6846515882132,28.4377664113571,-18.6010268281227,-14.695498183816,128.306450772533,6.20767349232277
All_AbsAE,1171.18952532317,59.8765349887227,15.8242877958726,75.4571913021937,13.9487882200922,77.6846515882132,33.7983876877985,23.4800073428044,19.4250755280123,128.306450772533,14.8065088896745
All_RMSE,1280.87494130208,73.4312189380298,21.2832405593688,76.4145524608803,20.5598808118633,78.5331865915844,43.8128635312253,27.7531155486062,28.4645680311002,151.069100479282,22.6660965333796
All_m,13.7992556557083,2.01994523591109,1.06486768253741,0.363375361997495,1.07934864019573,0.345501891639741,1.54611676865355,0.861318532690154,0.924662145882741,1.88388432195597,1.08485437873872
All_r_sq,0.805417529640303,0.812035660373116,0.942511217219295,0.860413272051279,0.963833907011699,0.871341747150464,0.900442313737696,0.890501793442864,0.798588903783793,0.887095162592875,0.961143141617953
Fragment_AE,1054.97811163138,43.7815120522863,7.27149177605578,-67.6345756629905,3.20639392698085,-71.6637329103584,28.4221510495991,-21.1286872987953,NaN,95.4804312407836,3.54467369453687
Fragment_AbsAE,1054.97811163138,61.2423018508755,13.8739134247228,67.6345756629905,10.5065663211918,71.6637329103584,35.0047436170584,26.1061186014375,NaN,95.4804312407836,11.5463306140123
Fragment_RMSE,1152.18029869714,79.8704344210654,16.6935615680328,68.3022699864436,13.2653972813608,72.2017738330858,46.487535214857,30.1966357918584,NaN,102.558821071801,14.9479533548823
Fragment_m,13.5730362109954,2.10138890623719,1.09178096099003,0.380985711873281,1.06689605243528,0.357346158544955,1.56352911593178,0.860292428644676,NaN,1.8280286954018,1.07795252914497
Fragment_r_sq,0.784083475578123,0.800569277630894,0.94849266623112,0.860966797031109,0.966073148251506,0.865041750919341,0.878722076981107,0.85724679915248,NaN,0.929469662539303,0.962585693800971
Fibre_AE,1709.76421224263,31.3001934710914,-35.2303309057771,-83.8615464631536,32.7491861043349,-75.3054600647939,34.9010640584542,-14.3253789391686,NaN,176.131012301283,30.6303661839147
Fibre_AbsAE,1783.45892111216,31.3598078953351,36.4495567112478,83.8615464631536,34.5948486133679,75.3054600647939,39.2563238219351,19.1354743932783,NaN,176.131012301283,33.1765501084602
Fibre_RMSE,1778.33762256917,58.745207311219,42.5643596478964,84.1737563679363,42.4736152342653,75.9320631281797,45.0605400738718,23.8949055368752,NaN,193.359935974856,43.2311434526259
Fibre_m,18.0043583434406,1.4161596270342,0.659820621161176,0.173824530949871,1.30365111089962,0.262543904037971,1.36918368149878,0.867379838045941,NaN,2.57699215034154,1.2714084680979
Fibre_r_sq,0.366274649903764,0.512008369379861,0.399514078692374,0.39314968824215,0.578173867759958,0.455456835859254,0.641343565362194,0.604425249924988,NaN,-0.0224186854139061,0.469369331748989
Film_AE,1134.325009247,-64.0787945929125,-2.06522864230873,-86.9002450001205,8.59584131076821,-90.9160847056326,25.2373483113247,-15.6835298312546,NaN,170.046209071655,-0.677673257901409
Film_AbsAE,1134.325009247,64.0787945929125,9.41240208048458,86.9002450001205,10.5102018212554,90.9160847056326,28.6567077622102,20.4000513003012,NaN,170.046209071655,12.1418448316059
Film_RMSE,1227.17599473769,66.2452369706574,11.054627931718,86.9720219159113,15.0178201112616,90.9784781806174,37.1628381752599,24.2212117304158,NaN,200.364417847312,20.415270292148
Film_m,13.0216322250309,0.488044645918352,0.967795719191846,0.149582781561703,1.0508242613371,0.113064219933264,1.31385188786568,0.883696075017585,NaN,2.37903067668078,0.945151375096244
Film_r_sq,0.595005059447161,0.639017803015862,0.937294839505068,0.772728177285625,0.899374114421618,0.724386291858373,0.791945326704381,0.789020191442021,NaN,-0.0560985529087217,0.709147958641493
