Shape,ESD,CSF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.00924731313007141,0.040572985,0.0176,0.000138973492246684,0.0002,70.56401359,22.0334467663603,5.000583972,8.85080856201997
Fragment,0.002086938,0.314547798915943,0.0247085905020063,0.056497175,0.0478,0.00101045404943088,0.0002,120.5583645,72.2335952246974,3.164211244,2.75319650431987
Fragment,0.000996582,0.0977562885497524,0.00407591977475093,0.01843318,0.0078,2.70599662338272e-05,0.0002,18.78341076,5.69010628314554,14.19456233,17.9089419989786
Fragment,0.001368883,0.217466712599566,0.0092637281964203,0.033613445,0.0178,0.000140882127960281,0.0002,47.04791549,17.7637170360323,5.863401305,9.01274165912053
Fragment,0.00194646,0.110425679175415,0.0107120183469538,0.039215686,0.0204,0.000186705891654632,0.0002,78.04884112,29.2077769604377,6.125412255,7.59777906669667
Fragment,0.001837442,0.614153320087042,0.0233295648809618,0.056497175,0.0456,0.000910763433360922,0.0002,106.1454753,60.0484760991675,2.785926202,2.73758609951988
Fragment,0.001903832,0.607812939702285,0.0235029217498826,0.05988024,0.046,0.000925538783049693,0.0002,116.5663892,62.680462058961,2.569632877,2.54254667742585
Fragment,0.002284278,0.737568823367241,0.0500529520866799,0.089686099,0.0994,0.00426640757897184,0.0002,209.476473,160.162325646953,1.374384276,1.07474418410719
Fragment,0.001596692,0.133253919503848,0.011233033591265,0.040733198,0.0216,0.000207406002730923,0.0002,66.50141243,25.1246441443135,4.657294292,6.97391128188988
Fragment,0.00168307,0.111830014655198,0.00802581665561657,0.032906643,0.0152,0.000104145649803186,0.0002,56.63006065,18.9222652319417,7.522195588,11.4127557461996
Fragment,0.001939073,0.0792132220091512,0.00870072111991703,0.03868472,0.0164,0.000121725004608504,0.0002,76.69989409,23.6336674475464,6.270825697,9.50426659478178
Fragment,0.002212588,0.148827730530593,0.00710717424367766,0.037160643,0.013,7.85811997965522e-05,0.0002,84.07075934,22.0282110125708,7.754318723,16.0345388661506
Fragment,0.001817967,0.101895842990547,0.00799108406747479,0.037174721,0.015,0.000102168488427653,0.0002,69.10268019,20.3504214382271,6.366489908,10.5535327355015
Fragment,0.002582853,0.358169503538659,0.0237876515493443,0.06779661,0.0454,0.000923445391263713,0.0002,179.0477572,86.0662677086245,2.719526337,3.2846927744606
Fragment,0.001762887,0.112834350130696,0.00769235414251013,0.035735849,0.0144,9.4371447339473e-05,0.0002,64.4153994,18.9961442030689,6.680757556,11.2132473125158
