Shape,ESD,CSF,Wt,Wt_Meas,Time
Fragment,0.001700925,0.179853784100379,0.0174151047010555,0.040572985,0.0304
Fragment,0.002086938,0.314547798915943,0.0272400469780918,0.056497175,0.0476
Fragment,0.000996582,0.0977562885497524,0.0103576237193018,0.01843318,0.0182
Fragment,0.001368883,0.217466712599566,0.0175109622113618,0.033613445,0.0308
Fragment,0.00194646,0.110425679175415,0.016808533312299,0.039215686,0.0292
Fragment,0.001837442,0.614153320087042,0.0331968633680076,0.056497175,0.0584
Fragment,0.001903832,0.607812939702285,0.0322387892742765,0.05988024,0.0566
Fragment,0.002284278,0.737568823367241,0.0497758881137691,0.089686099,0.0876
Fragment,0.001596692,0.133253919503848,0.01680024354129,0.040733198,0.0294
Fragment,0.00168307,0.111830014655198,0.0155617300837395,0.032906643,0.0272
Fragment,0.001939073,0.0792132220091512,0.0149194917368329,0.03868472,0.0258
Fragment,0.002212588,0.148827730530593,0.0180812666930811,0.037160643,0.0314
Fragment,0.001817967,0.101895842990547,0.0151583284331283,0.037174721,0.0264
Fragment,0.002582853,0.358169503538659,0.0302927123371933,0.06779661,0.0526
Fragment,0.001762887,0.112834350130696,0.0152930222591624,0.035735849,0.0266
Fragment,0.001474584,0.0657038766404651,0.0115441921542709,0.025247956,0.02
Fragment,0.002184712,0.14238330576472,0.0186795481361654,0.037735849,0.0324
Fragment,0.002633403,0.592065410276255,0.0412558110012602,0.084388186,0.072
Fragment,0.002795438,0.62987610365005,0.0420155305070838,0.101010101,0.0732
Fragment,0.002720295,0.832775408553888,0.052306570305162,0.104712042,0.0916
Fragment,0.001862402,0.331932435701896,0.0183774427245805,0.035273369,0.0494
Fragment,0.001823016,0.288073635876191,0.0180987237517919,0.035971223,0.0488
Fragment,0.001589028,0.244162329384844,0.0154805390140469,0.027020681,0.042
Fragment,0.001887135,0.281534172714555,0.0188074536736408,0.035898305,0.0506
Fragment,0.001762689,0.227494364831381,0.015637666572876,0.029895366,0.042
Fragment,0.002326884,0.357770418917705,0.0248898564925945,0.045045045,0.0668
Fragment,0.001572976,0.151910544045107,0.0125483189370473,0.023557126,0.0338
Fragment,0.001931166,0.203758372039665,0.0164891984062162,0.028409091,0.0442
Fragment,0.002105099,0.254068514462169,0.0183315267300732,0.033167496,0.0492
Fragment,0.001903886,0.198345794339446,0.0156969545413835,0.030769231,0.0422
Fragment,0.003009733,0.194618364326994,0.0208274509769925,0.040241449,0.0552
Fragment,0.00252976,0.146375397879432,0.0159897232665562,0.035735849,0.0424
Fragment,0.003482348,0.155076239361521,0.0204096299815134,0.046082949,0.0538
Fragment,0.002552543,0.15210265891292,0.0159135262287026,0.033900369,0.0422
Fragment,0.00305554,0.139544326572798,0.0186486213535704,0.04,0.0494
Fragment,0.002679545,0.262446090574843,0.0232300352598224,0.0456621,0.0618
Fragment,0.002894656,0.107976997051811,0.0165674436252684,0.038910506,0.0438
Fragment,0.002893857,0.156845720807416,0.0183388522538002,0.03649635,0.0486
Fragment,0.002787807,0.184092479996992,0.019049798369681,0.043103448,0.0504
Fragment,0.002904201,0.246427092654357,0.0215659932229865,0.04784689,0.0572
Fragment,0.001740289,0.254488461543747,0.0175285818345274,0.03327787,0.047
Fragment,0.001925098,0.257537815659095,0.0200667763486797,0.040968577,0.0538
Fragment,0.001806142,0.187543972882726,0.0161217344556136,0.027390244,0.0432
Fragment,0.001619626,0.214639328769005,0.0150403333034418,0.026075619,0.0404
Fragment,0.00167143,0.202405190566132,0.0148495178351975,0.027777778,0.0398
Fragment,0.001826392,0.253169666550495,0.0175560269143853,0.033167496,0.047
Fragment,0.001937634,0.248310434563996,0.018557251019087,0.03649635,0.0496
Fragment,0.001899524,0.234553828848177,0.0188138813403294,0.035523979,0.0504
Fragment,0.002021166,0.195021366732895,0.0173185462642852,0.037243948,0.0462
Fragment,0.002182857,0.265850343081488,0.0200851802662247,0.034843206,0.0536
Fragment,0.002329768,0.130855256526302,0.014697974832599,0.034482759,0.0388
Fragment,0.002117852,0.134588424310743,0.0150612989318177,0.029368576,0.04
Fragment,0.002273014,0.16659260114386,0.0167691330923087,0.034467532,0.0444
Fragment,0.002436774,0.199939784530085,0.0178585659843873,0.03968254,0.0472
Fragment,0.002423198,0.134230751103771,0.0158692010741784,0.034013605,0.0418
Fragment,0.00226653,0.118843000909657,0.0147308215014874,0.027855153,0.039
Fragment,0.002482053,0.122707246316342,0.015563007444595,0.031397174,0.041
Fragment,0.002614716,0.151271901409957,0.0176023161463692,0.044345898,0.0464
Fragment,0.00251205,0.163366798250134,0.0176868879385987,0.044345898,0.0468
Fragment,0.002440144,0.143672938321042,0.0162899361024787,0.040194093,0.043
Fragment,0.001413932,0.0945662100959202,0.00516307623970211,0.00773589,0.0406
Fragment,0.001553735,0.0879068192107053,0.00562197551297335,0.013368984,0.044
Fragment,0.001254669,0.0443114415037606,0.00372654934308601,0.007533333,0.0294
Fragment,0.001543662,0.0793352663891255,0.00523947962556725,0.008774576,0.041
Fragment,0.001756348,0.0722279299163795,0.00548193468260914,0.010498688,0.0426
Fragment,0.001273567,0.0489875807777533,0.00372830240973572,0.005050505,0.0296
Fragment,0.001340718,0.0683668199216447,0.00433662874813796,0.008067769,0.0342
Fragment,0.001460707,0.113655451426952,0.0055506526472153,0.009458571,0.0434
Fragment,0.001401742,0.082059449697783,0.00508971946313604,0.012746973,0.04
Fragment,0.001333964,0.0403310903939104,0.00367854275506268,0.007447366,0.0288
Fragment,0.001861531,0.107220069443889,0.00571563008915427,0.008333333,0.0444
Fragment,0.001665586,0.0456315373804487,0.00444692592915811,0.011255167,0.0344
Fragment,0.002097134,0.0898614867757904,0.00624419699927926,0.009708738,0.0482
Fragment,0.001676401,0.0558038712491293,0.00459956250435062,0.011342228,0.0356
Fragment,0.001678548,0.0704714414095899,0.00483216455666624,0.007246084,0.0374
Fragment,0.001949671,0.0512871107064204,0.00514875436093621,0.009470987,0.0396
Fragment,0.001758304,0.105668657626454,0.00614608636820049,0.016420361,0.0476
Fragment,0.001528301,0.0483983615783228,0.00428090344138223,0.008992806,0.0332
Fragment,0.001854533,0.0726679034915195,0.005456684027835,0.010557071,0.0424
Fragment,0.002125587,0.0753086317329911,0.00572235343950983,0.015029496,0.044
Fiber,0.001013252,0.160892412530852,0.0152696441825693,0.023337223,0.0244
Fiber,0.001115229,0.105991518073727,0.0143033541246969,0.020833333,0.023
Fiber,0.000953507,0.0264258750482728,0.00839536054917465,0.019379845,0.0134
Fiber,0.001606718,0.0610131429322852,0.0140626732853848,0.022075055,0.0222
Fiber,0.001139708,0.0804426690196195,0.0117470147860315,0.01552795,0.0188
Fiber,0.00127934,0.0906309833697501,0.0147646494301395,0.024479804,0.0234
Fiber,0.001166456,0.0384028262485808,0.00993064393719738,0.015686275,0.0158
Fiber,0.001132822,0.101822681080993,0.0124469845092701,0.019029496,0.0198
Fiber,0.00139375,0.0650769201262723,0.0126517320110627,0.021762786,0.02
Fiber,0.000849713,0.0530229679737175,0.00828846958137532,0.007996801,0.0132
Fiber,0.001122332,0.143028233943849,0.0153876802651214,0.015686275,0.0248
Fiber,0.001254411,0.0965182890396402,0.0148169323265252,0.024783147,0.0236
