Shape,ESD,CSF,Wt,Wt_Meas,Time
Fragment,0.001700925,0.179853784100379,0.00924731313007141,0.040572985,0.0176
Fragment,0.002086938,0.314547798915943,0.0247085905020063,0.056497175,0.0478
Fragment,0.000996582,0.0977562885497524,0.00407591977475093,0.01843318,0.0078
Fragment,0.001368883,0.217466712599566,0.0092637281964203,0.033613445,0.0178
Fragment,0.00194646,0.110425679175415,0.0107120183469538,0.039215686,0.0204
Fragment,0.001837442,0.614153320087042,0.0233295648809618,0.056497175,0.0456
Fragment,0.001903832,0.607812939702285,0.0235029217498826,0.05988024,0.046
Fragment,0.002284278,0.737568823367241,0.0500529520866799,0.089686099,0.0994
Fragment,0.001596692,0.133253919503848,0.011233033591265,0.040733198,0.0216
Fragment,0.00168307,0.111830014655198,0.00802581665561657,0.032906643,0.0152
Fragment,0.001939073,0.0792132220091512,0.00870072111991703,0.03868472,0.0164
Fragment,0.002212588,0.148827730530593,0.00710717424367766,0.037160643,0.013
Fragment,0.001817967,0.101895842990547,0.00799108406747479,0.037174721,0.015
Fragment,0.002582853,0.358169503538659,0.0237876515493443,0.06779661,0.0454
Fragment,0.001762887,0.112834350130696,0.00769235414251013,0.035735849,0.0144
Fragment,0.001474584,0.0657038766404651,0.00461598417882424,0.025247956,0.0086
Fragment,0.002184712,0.14238330576472,0.00910966577610305,0.037735849,0.017
Fragment,0.002633403,0.592065410276255,0.0401395505732665,0.084388186,0.0782
Fragment,0.002795438,0.62987610365005,0.0353867888404947,0.101010101,0.0682
Fragment,0.002720295,0.832775408553888,0.0450905693471233,0.104712042,0.088
Fragment,0.001862402,0.331932435701896,0.0123862931599434,0.035273369,0.0378
Fragment,0.001823016,0.288073635876191,0.0135886845161758,0.035971223,0.0416
Fragment,0.001589028,0.244162329384844,0.01082756747447,0.027020681,0.0336
Fragment,0.001887135,0.281534172714555,0.0166602349164909,0.035898305,0.0514
Fragment,0.001762689,0.227494364831381,0.0107323105737938,0.029895366,0.0328
Fragment,0.002326884,0.357770418917705,0.0220954799243254,0.045045045,0.0666
Fragment,0.001572976,0.151910544045107,0.00663074316271756,0.023557126,0.02
Fragment,0.001931166,0.203758372039665,0.0120303619714207,0.028409091,0.0362
Fragment,0.002105099,0.254068514462169,0.0123221475119816,0.033167496,0.0368
Fragment,0.001903886,0.198345794339446,0.0108466558052308,0.030769231,0.0328
Fragment,0.003009733,0.194618364326994,0.0170650977405656,0.040241449,0.0498
Fragment,0.00252976,0.146375397879432,0.00928439964175126,0.035735849,0.027
Fragment,0.003482348,0.155076239361521,0.0177091594317615,0.046082949,0.0514
Fragment,0.002552543,0.15210265891292,0.0084675918790405,0.033900369,0.0246
Fragment,0.00305554,0.139544326572798,0.0133122944362483,0.04,0.0384
Fragment,0.002679545,0.262446090574843,0.0224479519068366,0.0456621,0.067
Fragment,0.002894656,0.107976997051811,0.0138373013002516,0.038910506,0.0406
Fragment,0.002893857,0.156845720807416,0.0117874302463883,0.03649635,0.034
Fragment,0.002787807,0.184092479996992,0.0166564123056679,0.043103448,0.0494
Fragment,0.002904201,0.246427092654357,0.0193593836958859,0.04784689,0.0574
Fragment,0.001740289,0.254488461543747,0.0129638059491216,0.03327787,0.0394
Fragment,0.001925098,0.257537815659095,0.0231403990461973,0.040968577,0.0714
Fragment,0.001806142,0.187543972882726,0.0122272576747749,0.027390244,0.0368
Fragment,0.001619626,0.214639328769005,0.0101783986356461,0.026075619,0.031
Fragment,0.00167143,0.202405190566132,0.00869473121189699,0.027777778,0.026
Fragment,0.001826392,0.253169666550495,0.0142766892919739,0.033167496,0.0436
Fragment,0.001937634,0.248310434563996,0.0164391883127855,0.03649635,0.05
Fragment,0.001899524,0.234553828848177,0.0152761188719606,0.035523979,0.046
Fragment,0.002021166,0.195021366732895,0.0134502255656749,0.037243948,0.0402
Fragment,0.002182857,0.265850343081488,0.01370521369291,0.034843206,0.0404
Fragment,0.002329768,0.130855256526302,0.00949611044382962,0.034482759,0.0278
Fragment,0.002117852,0.134588424310743,0.0108821752967179,0.029368576,0.0322
Fragment,0.002273014,0.16659260114386,0.0137037474622032,0.034467532,0.0408
Fragment,0.002436774,0.199939784530085,0.0132822558165996,0.03968254,0.0392
Fragment,0.002423198,0.134230751103771,0.0118577659218158,0.034013605,0.0348
Fragment,0.00226653,0.118843000909657,0.00980337158181121,0.027855153,0.0288
Fragment,0.002482053,0.122707246316342,0.0104179559107935,0.031397174,0.0304
Fragment,0.002614716,0.151271901409957,0.0163187768273531,0.044345898,0.0484
Fragment,0.00251205,0.163366798250134,0.0144320010141932,0.044345898,0.0426
Fragment,0.002440144,0.143672938321042,0.010316735164067,0.040194093,0.03
Fragment,0.001413932,0.0945662100959202,0.00267632486423362,0.00773589,0.0244
Fragment,0.001553735,0.0879068192107053,0.00329519464916836,0.013368984,0.0294
Fragment,0.001254669,0.0443114415037606,0.00130904318382862,0.007533333,0.0118
Fragment,0.001543662,0.0793352663891255,0.00267287989920246,0.008774576,0.0238
Fragment,0.001756348,0.0722279299163795,0.00257296941208493,0.010498688,0.0222
Fragment,0.001273567,0.0489875807777533,0.0010348717520694,0.005050505,0.009
Fragment,0.001340718,0.0683668199216447,0.00167544763109315,0.008067769,0.015
Fragment,0.001460707,0.113655451426952,0.00308026990624882,0.009458571,0.0282
Fragment,0.001401742,0.082059449697783,0.00283472873583649,0.012746973,0.026
Fragment,0.001333964,0.0403310903939104,0.00115235027737147,0.007447366,0.0102
Fragment,0.001861531,0.107220069443889,0.00216401655237312,0.008333333,0.0186
Fragment,0.001665586,0.0456315373804487,0.00193538032467542,0.011255167,0.017
Fragment,0.002097134,0.0898614867757904,0.002653677312124,0.009708738,0.0224
Fragment,0.001676401,0.0558038712491293,0.00191067475640473,0.011342228,0.0168
Fragment,0.001678548,0.0704714414095899,0.00198347070084597,0.007246084,0.0174
Fragment,0.001949671,0.0512871107064204,0.00254108435568556,0.009470987,0.022
Fragment,0.001758304,0.105668657626454,0.00409862391143128,0.016420361,0.0368
Fragment,0.001528301,0.0483983615783228,0.00181310246213203,0.008992806,0.0162
Fragment,0.001854533,0.0726679034915195,0.0022591052713747,0.010557071,0.0192
Fragment,0.002125587,0.0753086317329911,0.00254865409017188,0.015029496,0.0218
Fiber,0.001013252,0.160892412530852,0.00649203536201414,0.023337223,0.0112
Fiber,0.001115229,0.105991518073727,0.00461377992512173,0.020833333,0.0076
Fiber,0.000953507,0.0264258750482728,0.00113159046925892,0.019379845,0.0012
Fiber,0.001606718,0.0610131429322852,0.00270204934067481,0.022075055,0.004
Fiber,0.001139708,0.0804426690196195,0.0017375788804124,0.01552795,0.0024
Fiber,0.00127934,0.0906309833697501,0.00637715854241258,0.024479804,0.0108
Fiber,0.001166456,0.0384028262485808,0.00243940370519779,0.015686275,0.0038
Fiber,0.001132822,0.101822681080993,0.00455030552296405,0.019029496,0.0076
Fiber,0.00139375,0.0650769201262723,0.00357420437563117,0.021762786,0.0056
Fiber,0.000849713,0.0530229679737175,0.00153019869019867,0.007996801,0.0022
Fiber,0.001122332,0.143028233943849,0.00195809151061879,0.015686275,0.0028
Fiber,0.001254411,0.0965182890396402,0.00525649303326491,0.024783147,0.0086
Fiber,0.000643719,0.0290840491762431,0.00123689242310374,0.010559662,0.0018
Fiber,0.000943625,0.0200220957343447,0.000742864186443861,0.013333333,0.0008
Fiber,0.00116318,0.119379934430812,0.00620384995148066,0.018796992,0.0104
Fiber,0.001431618,0.0439150290920783,0.00232964364868938,0.017761989,0.0034
Fiber,0.0014051,0.0436389604120962,0.00270431284915232,0.020639835,0.0042
Fiber,0.001228451,0.0385709927742405,0.00201498287327759,0.018198362,0.003
Fiber,0.001204416,0.0840716054670816,0.00239589562157702,0.020408163,0.0036
Fiber,0.001078273,0.045175818450955,0.00168004960161528,0.017777778,0.0024
Film,0.00130241,0.048169199186071,0.00303880037503688,0.01532567,0.0094
Film,0.000945978,0.0223643536534301,0.00149213590123987,0.008028904,0.0044
Film,0.001036934,0.0185341882204163,0.00128632363344361,0.009560229,0.0038
Film,0.001172154,0.0275033743897306,0.00174455109206763,0.010012931,0.0052
Film,0.001073998,0.0251990279684804,0.00186197101645533,0.009225092,0.0056
Film,0.000938224,0.0213265269533733,0.00120058825082967,0.008853475,0.0036
Film,0.001010671,0.0183347474356736,0.00139952485957339,0.009157509,0.0042
Film,0.000897379,0.0343755488451446,0.0012602969618473,0.008949774,0.0038
Film,0.000823015,0.0209671757639281,0.000856793550428154,0.007160412,0.0024
Film,0.000756879,0.0257800383351599,0.00113148915082349,0.00697107,0.0036
Film,0.001130627,0.0143233734957769,0.00104593248273375,0.008420738,0.003
Film,0.001356902,0.0116751017316804,0.00100891246007978,0.008932711,0.0028
Film,0.001447857,0.0124159703336139,0.00106828244560656,0.009277492,0.0028
Film,0.001788325,0.0211708167511635,0.00233959136445083,0.015710919,0.0068
Film,0.001224851,0.0125814610362707,0.00125468305515597,0.009066183,0.0036
Film,0.001874491,0.0434160081290088,0.0043753381220999,0.019880716,0.013
Film,0.001748718,0.0298420743446279,0.00189992642749105,0.013218771,0.0054
Film,0.001980079,0.0134642315771924,0.00200787509563297,0.014164306,0.0056
Film,0.001965935,0.0256010102927596,0.00268523095036288,0.015452251,0.0076
Film,0.001470483,0.0155493260357608,0.00192716228457803,0.012091898,0.0056
Film,0.000967263,0.00567731939183674,0.000535688653553641,0.00664697,0.0008
Film,0.000625814,0.00928665958310461,0.000568866492081192,0.005163956,0.0008
Film,0.000697517,0.00794968205678084,0.000599428915017725,0.005817336,0.0008
Film,0.00074577,0.00999245482903146,0.000760200502671097,0.006118079,0.0016
Film,0.000722449,0.010860256667736,0.000938124817647992,0.005899705,0.002
Film,0.000788476,0.00695688471649791,0.000925911428072598,0.006830836,0.002
Film,0.000836086,0.00633914708132321,0.000508813384904899,0.005132153,0.0008
Film,0.000656389,0.00922300864777753,0.000634509980746208,0.004539265,0.001
Film,0.000641466,0.0112522013393101,0.000711663421566689,0.005502063,0.0014
Film,0.000808196,0.00741861673206967,0.000648337336848644,0.006805036,0.001
Film,0.001112342,0.0106031251826439,0.00105312032240047,0.008503401,0.0022
Film,0.001091642,0.0138611083160537,0.00120660760109902,0.00856898,0.0026
Film,0.001096891,0.0611262058652282,0.000759338370621291,0.007538636,0.0012
Film,0.001142018,0.00463712585471378,0.000500842913266753,0.006928904,0.0008
Film,0.001132298,0.00564446175617915,0.000805185869441644,0.008421053,0.0014
Film,0.000960498,0.0065147011520963,0.000613544442357441,0.007412898,0.0008
Film,0.001453873,0.00769063045859797,0.000953377565273725,0.00911577,0.0018
Film,0.001312777,0.038718372041844,0.000516335265301044,0.006785004,0.0008
Film,0.001096891,0.00634608923266282,0.000610989250364294,0.006874283,0.0008
Film,0.001080991,0.00492837454896964,0.000628113370788932,0.00669344,0.0008
