ESD,CSF,Wt,Wt_Meas
0.00498,0.585714285714286,0.109245977083232,0.111
0.00487,0.835135000853352,0.111212723967192,0.115
0.00382,0.575417774232696,0.137655670507776,0.148
0.0051,0.765952756705411,0.109572781547292,0.115
0.00409,0.786470757212861,0.139531900875837,0.143
0.00489,0.597666043925739,0.107696927063912,0.121
0.0038,0.671253404466227,0.140968220780558,0.156
0.00426,0.782005335016136,0.141210232779032,0.148
0.00388,0.811069932284017,0.161656113484689,0.164
0.00412,0.610714593072965,0.130973936222333,0.164
0.00525,0.791832624176188,0.134915627027329,0.129
0.00527,0.623741391874104,0.111429060353249,0.129
0.00458,0.698861969137964,0.156816557559802,0.164
0.00502,0.401729907815845,0.135375227261964,0.15
0.00451,0.70908905940371,0.156068229952868,0.17
0.00528,0.504021734055511,0.137384985173669,0.146
0.00321,0.623064166217157,0.0574756254166154,0.041
0.00445,0.823432929414059,0.168218867748072,0.183
0.00374,0.807850566980291,0.192172628937819,0.217
0.00546,0.72201333654259,0.155662076008345,0.155
0.00497,0.700345950959967,0.170946276260958,0.174
0.00526,0.775329841832728,0.155993162964328,0.166
0.00475,0.642372330965134,0.17720732892175,0.193
0.00581,0.558620387730928,0.143667705501907,0.158
0.00557,0.642980598579048,0.162977936660854,0.166
0.00475,0.51263005695099,0.186695488238313,0.203
0.00466,0.77814142618583,0.182895812613811,0.213
0.00404,0.477526657424681,0.0398081078110267,0.0414
0.00473,0.53478634258181,0.194998057399159,0.215
0.00561,0.683559529159116,0.170816730406088,0.182
0.00556,0.625916731459938,0.180603793079521,0.193
0.00488,0.65296325032182,0.189322991349528,0.226
0.00526,0.671240396613534,0.203051712243779,0.221
0.00664,0.589958343832535,0.172410463882123,0.178
0.00607,0.365485551404663,0.165290370411251,0.197
0.00224,0.594843005410295,0.0689385191252299,0.04
0.00725,0.853465142873241,0.247715575767145,0.175
0.00818,0.551316018109339,0.210854955379942,0.174
0.00701,0.677524822688767,0.196307929400248,0.205
0.00306,0.743920778044517,0.0607391752703655,0.0775
0.00634,0.693097716320316,0.241320582004462,0.242
0.00764,0.631121310250253,0.215747767758323,0.211
0.00624,0.792553892239704,0.247350037465858,0.26
0.00553,0.511630677109995,0.248437372638286,0.299
0.00657,0.643595902934838,0.232971059720233,0.255
0.0102,0.746077134923104,0.156407476506238,0.174
0.00822,0.798029748644951,0.235745451962907,0.217
0.00669,0.688334733303742,0.266032125212084,0.273
0.00808,0.605792148334829,0.250466042151501,0.239
0.00659,0.601127122699595,0.26163264172402,0.294
0.00399,0.55819577904884,0.0960378193484901,0.0881
0.00823,0.797560917068926,0.266343815658546,0.259
0.0104,0.776899705924871,0.258186043015967,0.223
0.00773,0.502769653223077,0.276808774234838,0.301
0.00956,0.814516129032258,0.290036989682031,0.259
0.00481,0.703812652976086,0.105872612015156,0.0857
0.00705,0.707187612385366,0.29283284497438,0.364
0.00236,0.473631733463005,0.0765637895876238,0.09
0.00971,0.717856968658089,0.283987371386924,0.272
0.00227,0.648102111642099,0.127802957853489,0.1
0.00396,0.470458415743573,0.117576416620436,0.125
0.00415,0.519597670326078,0.140469788312072,0.1278
0.00346,0.644743818681906,0.165872313438764,0.1689
0.00218,0.497154576959904,0.109940778272005,0.13
0.0104,0.755540362734973,0.361563704712407,0.366
0.00233,0.760204214511597,0.143062753785594,0.13
0.00488,0.680602286827526,0.109549950249757,0.1322
0.00244,0.714782916204351,0.120235701502244,0.13
0.00429,0.737523420346545,0.174303391751115,0.1553
0.00218,0.682382780046069,0.155823509619746,0.15
0.0028,0.688582850108405,0.116986974248395,0.12
0.00264,0.612174838828434,0.152175436859136,0.14
0.00267,0.748685968837179,0.130755139920597,0.14
0.00246,0.586588460085413,0.15466525920923,0.15
0.00453,0.651297069955629,0.165667220250065,0.1771
0.00468,0.645114463191328,0.16370104979508,0.1825
0.00487,0.656570669454759,0.171076095521573,0.1762
0.00258,0.75,0.184348433978917,0.1633
0.00288,0.739221270954573,0.137588421493965,0.16
0.00391,0.658521623092318,0.118294709511441,0.12
0.00509,0.864027649327175,0.221390733670218,0.1917
0.00338,0.337572595485915,0.153044973260604,0.14
0.00271,0.726439367623203,0.209831019487197,0.1786
0.00245,0.697424162875766,0.179084990863903,0.1982
0.00353,0.699835522566721,0.152025588874967,0.14
0.00276,0.699867712367712,0.199381829710194,0.1864
0.00452,0.52919034441969,0.227797780316894,0.2415
0.00268,0.778648641104386,0.221889734354404,0.2073
