Shape,ESD,CSF,Wt,rho_f
Fragment,0.001700925,0.179853784100379,0.0417645999000238,1000
Fragment,0.001700925,0.179853784100379,0.0401163924562462,1020
Fragment,0.001700925,0.179853784100379,0.0397040341134038,1025
Fragment,0.001700925,0.179853784100379,0.0392914311527478,1030
Fragment,0.001700925,0.179853784100379,0.0384653014103099,1040
Fragment,0.001700925,0.179853784100379,0.0376375325933485,1050
Fiber,0.001013252,0.160892412530852,0.0304343806400854,1000
Fiber,0.001013252,0.160892412530852,0.029334580525384,1020
Fiber,0.001013252,0.160892412530852,0.0290600326289451,1025
Fiber,0.001013252,0.160892412530852,0.0287855796771172,1030
Fiber,0.001013252,0.160892412530852,0.0282368977239456,1040
Fiber,0.001013252,0.160892412530852,0.0276883180327915,1050
Film,0.00130241,0.048169199186071,0.0204094963137476,1000
Film,0.00130241,0.048169199186071,0.0203445947960095,1020
Film,0.00130241,0.048169199186071,0.0201498249794917,1025
Film,0.00130241,0.048169199186071,0.0199550588217595,1030
Film,0.00130241,0.048169199186071,0.0195654792658102,1040
Film,0.00130241,0.048169199186071,0.0191756465249367,1050
