Shape,ESD,CSF,Wt,Time,Wt_Meas
Fragment,0.001340718,0.0683668199216447,0.00405695087936699,0.05,0.008067769
Fragment,0.001460707,0.113655451426952,0.00676189056673411,0.0836,0.009458571
Fragment,0.001401742,0.082059449697783,0.00628845122910444,0.0776,0.012746973
Fragment,0.001333964,0.0403310903939104,0.00304365100459801,0.0374,0.007447366
Fragment,0.001861531,0.107220069443889,0.00791329139082116,0.0978,0.008333333
Fragment,0.001665586,0.0456315373804487,0.00546014312082913,0.0674,0.011255167
Fragment,0.002097134,0.0898614867757904,0.0122577247263875,0.1516,0.009708738
Fragment,0.001676401,0.0558038712491293,0.00542945080205093,0.067,0.011342228
Fragment,0.001678548,0.0704714414095899,0.00565779702110143,0.0698,0.007246084
Fragment,0.001949671,0.0512871107064204,0.00879002278327239,0.1086,0.009470987
Fragment,0.001758304,0.105668657626454,0.0101455963628259,0.1254,0.016420361
Fragment,0.001528301,0.0483983615783228,0.00461249249455939,0.0568,0.008992806
Fragment,0.001854533,0.0726679034915195,0.0087346191353401,0.108,0.010557071
Fragment,0.002125587,0.0753086317329911,0.0100238626338122,0.124,0.015029496
Fiber,0.001013252,0.160892412530852,0.0294530142653975,0.0792,0.023337223
Fiber,0.001115229,0.105991518073727,0.0322412757943528,0.0868,0.020833333
Fiber,0.000953507,0.0264258750482728,0.0122826482266963,0.0328,0.019379845
Fiber,0.001606718,0.0610131429322852,0.047098123977561,0.127,0.022075055
Fiber,0.001139708,0.0804426690196195,0.0194749866667587,0.0522,0.01552795
Fiber,0.00127934,0.0906309833697501,0.0421121348174933,0.1134,0.024479804
Fiber,0.001166456,0.0384028262485808,0.0175551254118149,0.047,0.015686275
Fiber,0.001132822,0.101822681080993,0.021095408473741,0.0566,0.019029496
Fiber,0.00139375,0.0650769201262723,0.0307828313817018,0.0828,0.021762786
Fiber,0.000849713,0.0530229679737175,0.0073661339864037,0.0196,0.007996801
Fiber,0.001122332,0.143028233943849,0.0289915004402496,0.078,0.015686275
Fiber,0.001254411,0.0965182890396402,0.0401357067809522,0.108,0.024783147
Fiber,0.000643719,0.0290840491762431,0.00405583380853594,0.0106,0.010559662
Fiber,0.000943625,0.0200220957343447,0.00879374797799873,0.0234,0.013333333
Fiber,0.00116318,0.119379934430812,0.0468319320378381,0.1262,0.018796992
