Shape,ESD,CSF,ASF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.38005067553059,0.0367788461464682,0.040572985,0.0964,0.00308510337764596,0.0001,70.56401359,87.6324546706581,5.000583972,1.20016221067972
Fragment,0.002086938,0.314547798915943,0.677836506729556,0.0596837273008926,0.056497175,0.1565,0.00812695138953602,0.0001,120.5583645,174.480620373867,3.164211244,0.759377461140304
Fragment,0.000996582,0.0977562885497524,0.113799478989855,0.0162712954292953,0.01843318,0.0425,0.000601717581523896,0.0001,18.78341076,22.7152165581591,14.19456233,2.90360254385536
Fragment,0.001368883,0.217466712599566,0.399603286397269,0.0290581234333512,0.033613445,0.0761,0.00192414446768378,0.0001,47.04791549,55.7205772150797,5.863401305,1.76256864598601
Fragment,0.00194646,0.110425679175415,0.20495582163348,0.05118527390891,0.039215686,0.1342,0.00597674038045667,0.0001,78.04884112,139.563620558537,6.125412255,0.724630700203495
Fragment,0.001837442,0.614153320087042,0.97172104215836,0.0426483919329845,0.056497175,0.1118,0.00414882476497671,0.0001,106.1454753,109.773626585965,2.785926202,1.19463000081961
Fragment,0.001903832,0.607812939702285,0.668743160607692,0.0459452358761012,0.05988024,0.1204,0.00481298842976223,0.0001,116.5663892,122.532366178531,2.569632877,1.01463461545365
Fragment,0.002284278,0.737568823367241,1.24672640158654,0.0669033595854006,0.089686099,0.1755,0.0102163682108037,0.0001,209.476473,214.081232336418,1.374384276,0.721444606056802
Fragment,0.001596692,0.133253919503848,0.34718855301351,0.038008961654997,0.040733198,0.0996,0.00329396543636025,0.0001,66.50141243,85.0136900346538,4.657294292,1.20930733901292
Fragment,0.00168307,0.111830014655198,0.426390576937012,0.0356070125354734,0.032906643,0.0933,0.00289066454009072,0.0001,56.63006065,83.9497541775752,7.522195588,1.27156581857579
Fragment,0.001939073,0.0792132220091512,0.154396946050221,0.0487840363518125,0.03868472,0.1279,0.00542898724716286,0.0001,76.69989409,132.511509792966,6.270825697,0.716027027450594
Fragment,0.002212588,0.148827730530593,0.601203580140928,0.0467372499071242,0.037160643,0.1225,0.00498147125341033,0.0001,84.07075934,144.858978801207,7.754318723,0.865401802906184
Fragment,0.001817967,0.101895842990547,0.233199850883662,0.0410258521662542,0.037174721,0.1075,0.0038372903716125,0.0001,69.10268019,104.478112656059,6.366489908,0.944065036802059
Fragment,0.002582853,0.358169503538659,0.48087120790721,0.0825576768634177,0.06779661,0.2166,0.0155589651032666,0.0001,179.0477572,298.702505524337,2.719526337,0.455433554664227
Fragment,0.001762887,0.112834350130696,0.253783096223188,0.0387794783700182,0.035735849,0.1016,0.00342810547985655,0.0001,64.4153994,95.7652949395114,6.680757556,1.03133520187804
Fragment,0.001474584,0.0657038766404651,0.17792371019224,0.0266716799668728,0.025247956,0.0698,0.00161981030205123,0.0001,38.06772521,55.0936570237336,11.1950633,1.52118236335168
Fragment,0.002184712,0.14238330576472,0.732015895849877,0.0481415848214161,0.037735849,0.1262,0.00528620538367816,0.0001,84.29647367,147.331730408958,7.424981092,0.886520980296876
Fragment,0.002633403,0.592065410276255,0.6857435651442,0.0850573562323717,0.084388186,0.2231,0.0165103928462453,0.0001,227.2271198,313.769639051046,1.789631179,0.46836460550454
Fragment,0.002795438,0.62987610365005,0.804509194951312,0.0855822734468901,0.101010101,0.2245,0.0167167665784812,0.0001,288.7193467,335.131612339636,1.325958076,0.457456153827294
Fragment,0.002720295,0.832775408553888,0.883655758488253,0.0821893906691742,0.104712042,0.2156,0.0154177016524327,0.0001,291.2552583,313.194030911912,1.200693646,0.492678135079697
Fragment,0.001862402,0.331932435701896,0.528604101842099,0.0197402943138608,0.035273369,0.0774,0.00131815864051504,0.0001,42.43468715,28.6178856560983,4.014904573,3.22902343886026
Fragment,0.001823016,0.288073635876191,0.527320905990165,0.0204452525019391,0.035971223,0.0802,0.00141467993108724,0.0001,42.35905822,29.0130542585376,3.778989772,3.19109346057562
Fragment,0.001589028,0.244162329384844,0.627002647195353,0.0153994615633977,0.027020681,0.0604,0.000802669279951995,0.0001,27.7350146,19.0479208339517,5.837603088,4.6739366040007
Fragment,0.001887135,0.281534172714555,0.600178292624113,0.0219149881779571,0.035898305,0.086,0.00162605676602071,0.0001,43.76003465,32.1924997848561,3.927813493,3.00233373241494
Fragment,0.001762689,0.227494364831381,0.549742166692077,0.0178032038540999,0.029895366,0.0698,0.00107216118542798,0.0001,34.03926738,24.427799706997,5.290096612,3.70891974760141
Fragment,0.002326884,0.357770418917705,1.86745740930037,0.026497860849215,0.045045045,0.104,0.00237736503104058,0.0001,67.70525074,47.9950048396894,3.075929004,2.68788089397807
Fragment,0.001572976,0.151910544045107,0.64008821341269,0.0134160082651947,0.023557126,0.0526,0.000609036432661278,0.0001,23.93563716,16.4269110254614,7.602792007,5.30405475071095
