Shape,ESD,CSF,ASF,Wt,Wt_Meas,Time,Distance,Timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.38005067553059,0.0583515448287179,0.040572985,0.153,0.0077676810087793,0.00015,70.56401359,139.0334293469,5.000583972,0.819226779302463
Fragment,0.002086938,0.314547798915943,0.677836506729556,0.103235310695528,0.056497175,0.27075,0.0243174399743115,0.00015,120.5583645,301.800203660795,3.164211244,0.482595416398306
Fragment,0.000996582,0.0977562885497524,0.113799478989855,0.0247178021982199,0.01843318,0.06465,0.00139026193863571,0.00015,18.78341076,34.5067934027809,14.19456233,2.05451655793484
Fragment,0.001368883,0.217466712599566,0.399603286397269,0.0470439854974672,0.033613445,0.1233,0.00504674256739934,0.00015,47.04791549,90.2094738646516,5.863401305,1.18316318578585
Fragment,0.00194646,0.110425679175415,0.20495582163348,0.078279667030493,0.039215686,0.2052,0.0139744075389754,0.00015,78.04884112,213.440173561143,6.125412255,0.509890149298294
Fragment,0.001837442,0.614153320087042,0.97172104215836,0.0898569297778196,0.056497175,0.23565,0.0184223301190587,0.00015,106.1454753,231.284712237013,2.785926202,0.644879645911979
Fragment,0.001903832,0.607812939702285,0.668743160607692,0.0956950084092268,0.05988024,0.25095,0.0208927503615139,0.00015,116.5663892,255.211135349861,2.569632877,0.55295720708696
Fragment,0.002284278,0.737568823367241,1.24672640158654,0.153335797272046,0.089686099,0.4023,0.0536687674337894,0.00015,209.476473,490.652736196077,1.374384276,0.363256293113454
Fragment,0.001596692,0.133253919503848,0.34718855301351,0.0589303304633794,0.040733198,0.1545,0.00792148747892741,0.00015,66.50141243,131.807990261023,4.657294292,0.841346763387124
Fragment,0.00168307,0.111830014655198,0.426390576937012,0.0548308410706437,0.032906643,0.1437,0.00685495936237206,0.00015,56.63006065,129.273289205166,7.522195588,0.889669882597523
Fragment,0.001939073,0.0792132220091512,0.154396946050221,0.0736707067859335,0.03868472,0.1932,0.0123834182801381,0.00015,76.69989409,200.110882857611,6.270825697,0.509129854484231
Fragment,0.002212588,0.148827730530593,0.601203580140928,0.0735889584026641,0.037160643,0.1929,0.0123496652408585,0.00015,84.07075934,228.084052579857,7.754318723,0.594450932906829
Fragment,0.001817967,0.101895842990547,0.233199850883662,0.0625812335111235,0.037174721,0.1641,0.00893506258197865,0.00015,69.10268019,159.37192817919,6.366489908,0.665711800832543
Fragment,0.002582853,0.358169503538659,0.48087120790721,0.145627613915266,0.06779661,0.38205,0.0484049158313498,0.00015,179.0477572,526.896283939596,2.719526337,0.284778326392421
Fragment,0.001762887,0.112834350130696,0.253783096223188,0.0594427671664422,0.035735849,0.15585,0.00806022319626308,0.00015,64.4153994,146.792952586906,6.680757556,0.724332759524243
Fragment,0.001474584,0.0657038766404651,0.17792371019224,0.0401264274321668,0.025247956,0.10515,0.00367106692114372,0.00015,38.06772521,82.8861036605613,11.1950633,1.08501240944125
Fragment,0.002184712,0.14238330576472,0.732015895849877,0.0758678467574324,0.037735849,0.1989,0.0131283164064898,0.00015,84.29647367,232.184735642556,7.424981092,0.608508077501629
Fragment,0.002633403,0.592065410276255,0.6857435651442,0.175387542455337,0.084388186,0.4602,0.0702222813559231,0.00015,227.2271198,646.990317215112,1.789631179,0.257379851567972
Fragment,0.002795438,0.62987610365005,0.804509194951312,0.181216528689675,0.101010101,0.4755,0.0749682893917593,0.00015,288.7193467,709.62577875488,1.325958076,0.245925499436762
Fragment,0.002720295,0.832775408553888,0.883655758488253,0.197662246264607,0.104712042,0.5187,0.0892015826062361,0.00015,291.2552583,753.219304373474,1.200693646,0.238381566176522
Fragment,0.001862402,0.331932435701896,0.528604101842099,0.0343072776167136,0.035273369,0.1347,0.00398620837195498,0.00015,42.43468715,49.7359224942129,4.014904573,2.04405322327474
Fragment,0.001823016,0.288073635876191,0.527320905990165,0.0346072804334783,0.035971223,0.13575,0.00405179966380567,0.00015,42.35905822,49.1098314810102,3.778989772,2.06461668019307
Fragment,0.001589028,0.244162329384844,0.627002647195353,0.0255185660028414,0.027020681,0.10005,0.00220215657903737,0.00015,27.7350146,31.5644558750954,5.837603088,3.07761265248264
Fragment,0.001887135,0.281534172714555,0.600178292624113,0.0370586509541378,0.035898305,0.1455,0.00465096838931698,0.00015,43.76003465,54.4381134582639,3.927813493,1.94406966405528
Fragment,0.001762689,0.227494364831381,0.549742166692077,0.0291417916357232,0.029895366,0.1143,0.00287297534156608,0.00015,34.03926738,39.9854910955564,5.290096612,2.46712000856955
Fragment,0.002326884,0.357770418917705,1.86745740930037,0.0494364042154199,0.045045045,0.1941,0.00827599007656498,0.00015,67.70525074,89.5430945568652,3.075929004,1.6045281775153
Fragment,0.001572976,0.151910544045107,0.64008821341269,0.0211825272878794,0.023557126,0.0831,0.0015186124992382,0.00015,23.93563716,25.9364398242901,7.602792007,3.63504135250126
Fragment,0.001931166,0.203758372039665,0.920725816439229,0.0322252349818682,0.028409091,0.12645,0.00351473836089651,0.00015,35.43868486,48.4424601703374,6.41801341,2.32604102228475
Fragment,0.002105099,0.254068514462169,1.1923330306551,0.0359518529007582,0.033167496,0.14115,0.00437719824804134,0.00015,45.1009592,58.912071569285,5.132663125,2.0799357762074
Fragment,0.001903886,0.198345794339446,0.644708645143605,0.031561327371112,0.030769231,0.1239,0.00337317650403883,0.00015,37.84061887,46.7742348289122,5.393905662,2.23483571759924
Fragment,0.003009733,0.194618364326994,0.866717949262061,0.0657363951429993,0.040241449,0.25815,0.0146354655926799,0.00015,78.23520109,154.00837765356,4.985129165,0.88301294460331
Fragment,0.00252976,0.146375397879432,0.253977956731869,0.0508834395221874,0.035735849,0.1998,0.00876843420237968,0.00015,58.39612919,100.199665778657,5.31332986,0.993576269242495
Fragment,0.003482348,0.155076239361521,0.428404621008824,0.0859794325768425,0.046082949,0.3378,0.0250490040809081,0.00015,103.6604469,233.06509438389,4.398324944,0.546842693203578
Fragment,0.002552543,0.15210265891292,0.167198485667929,0.0536730590087912,0.033900369,0.21075,0.00975587345574862,0.00015,55.89565457,106.644854530275,5.957441725,0.870266896364579
Fragment,0.00305554,0.139544326572798,0.744622794534725,0.0638817700448294,0.04,0.25095,0.013826684066441,0.00015,78.94936371,151.94114886993,5.122284464,0.867074026360386
Fragment,0.002679545,0.262446090574843,1.09546599731975,0.0613553007103831,0.0456621,0.2409,0.0127471108756541,0.00015,79.03464949,127.974557120513,3.447028777,1.0769420416706
Fragment,0.002894656,0.107976997051811,0.320301273475051,0.063109159188935,0.038910506,0.2478,0.0134870633444493,0.00015,72.75526401,142.20008143806,5.128127612,0.777913813007624
Fragment,0.002893857,0.156845720807416,1.0370649430594,0.0545007427840022,0.03649635,0.21405,0.0100617586892592,0.00015,68.22243129,122.769356436772,5.827387715,1.10282159102755
Fragment,0.002787807,0.184092479996992,0.364279456753012,0.0633633706657905,0.043103448,0.24885,0.0135991991581553,0.00015,77.62031085,137.502776425161,4.024707892,0.820007915132967
Fragment,0.002904201,0.246427092654357,0.345461442197988,0.0724397681171645,0.04784689,0.28455,0.0177775948093553,0.00015,89.75962839,163.76240715402,3.402631649,0.702367014737451
Fragment,0.001740289,0.254488461543747,0.519252897180899,0.0333539153105708,0.03327787,0.13035,0.00375059681453548,0.00015,37.4091264,45.2308386603334,4.241101031,2.20346242931619
Fragment,0.001925098,0.257537815659095,0.646572488889249,0.0420199720264973,0.040968577,0.16425,0.0059535596841969,0.00015,50.94532483,63.0340258341597,3.095418183,1.74701416556941
Fragment,0.001806142,0.187543972882726,0.979990196421694,0.0302249703546844,0.027390244,0.11805,0.00307789238118467,0.00015,31.95570988,42.5387005325037,6.497232288,2.6215413368559
Fragment,0.001619626,0.214639328769005,0.252579855078174,0.0298626870083462,0.026075619,0.1167,0.00300650290266136,0.00015,27.28035675,37.6886052707085,6.428561056,2.22871825333494
Fragment,0.00167143,0.202405190566132,0.624708102871303,0.0264156390097971,0.027777778,0.1032,0.00235186259462146,0.00015,29.99067677,34.4045401546757,5.846034733,2.86384985563471
Fragment,0.001826392,0.253169666550495,0.60116186396745,0.0339159366924646,0.033167496,0.13245,0.00387476846937175,0.00015,39.12977386,48.2685503365376,4.480607591,2.14816020997484
Fragment,0.001937634,0.248310434563996,0.566248849676105,0.039081001912187,0.03649635,0.1527,0.00514759600088701,0.00015,45.67954529,59.0070467623386,3.925916726,1.79830274699513
Fragment,0.001899524,0.234553828848177,1.23189772423967,0.0353112129420922,0.035523979,0.138,0.0042036230952251,0.00015,43.58801544,52.2665536544087,4.062280579,2.31098973795018
