Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001700925,0.179853784100379,0.0051166746298777,0.040572985,0.009,3.79976443608592e-05,0.0002,70.56401359,12.1914307964314,5.000583972,28.9111066132026
Fragment,0.002086938,0.314547798915943,0.0109562302370079,0.056497175,0.0192,0.000176271598243216,0.0002,120.5583645,32.0296659602805,3.164211244,14.0030005167083
Fragment,0.000996582,0.0977562885497524,0.00235230934092282,0.01843318,0.0042,7.8787986106992e-06,0.0002,18.78341076,3.28389440920848,14.19456233,53.7764671976928
Fragment,0.001368883,0.217466712599566,0.00575169951948135,0.033613445,0.0102,4.85786853555374e-05,0.0002,47.04791549,11.0292055826758,5.863401305,23.3802553990816
Fragment,0.00194646,0.110425679175415,0.00501208788431678,0.039215686,0.0086,3.54053643088998e-05,0.0002,78.04884112,13.6661402445101,6.125412255,34.7060886948322
Fragment,0.001837442,0.614153320087042,0.0132630595655995,0.056497175,0.0236,0.000263241504301643,0.0002,106.1454753,34.1380784163986,2.785926202,8.47028869566824
Fragment,0.001903832,0.607812939702285,0.0123004095720582,0.05988024,0.0218,0.000225224169902111,0.0002,116.5663892,32.8042344562937,2.569632877,9.2828358820058
Fragment,0.002284278,0.737568823367241,0.024210428448333,0.089686099,0.0432,0.000885030142409481,0.0002,209.476473,77.4699266184955,1.374384276,4.5937560150423
Fragment,0.001596692,0.133253919503848,0.0055111413132563,0.040733198,0.0096,4.36620450318722e-05,0.0002,66.50141243,12.326631376965,4.657294292,28.9734991043239
Fragment,0.00168307,0.111830014655198,0.00452592567407467,0.032906643,0.0078,2.88956007157345e-05,0.0002,56.63006065,10.67066065669,7.522195588,35.8888493786996
Fragment,0.001939073,0.0792132220091512,0.00403927255907973,0.03868472,0.007,2.31116371237287e-05,0.0002,76.69989409,10.9718290099845,6.270825697,44.10303935042
Fragment,0.002212588,0.148827730530593,0.00485770357700992,0.037160643,0.0084,3.35312794318456e-05,0.0002,84.07075934,15.0561271979626,7.754318723,34.3250919547356
Fragment,0.001817967,0.101895842990547,0.00407628825044352,0.037174721,0.007,2.32674881190162e-05,0.0002,69.10268019,10.3808423362555,6.366489908,40.5611292130043
Fragment,0.002582853,0.358169503538659,0.0115883446616136,0.06779661,0.0202,0.000196245351135702,0.0002,179.0477572,41.9278705120321,2.719526337,13.8408113496866
Fragment,0.001762887,0.112834350130696,0.004135180515679,0.035735849,0.0072,2.43593057389335e-05,0.0002,64.4153994,10.2117614356125,6.680757556,38.8064142648986
Fragment,0.001474584,0.0657038766404651,0.00259402794772572,0.025247956,0.0044,9.06920932813514e-06,0.0002,38.06772521,5.35828587623596,11.1950633,59.6146536137644
Fragment,0.002184712,0.14238330576472,0.00546065306854927,0.037735849,0.0094,4.22844140406106e-05,0.0002,84.29647367,16.7116946551882,7.424981092,31.6146931086073
