Shape,ESD,CSF,Wt_Calc,Wt_Meas,Time,Distance,timestep,Re_Meas,Re_Calc,Cd_Meas,Cd_Calc
Fragment,0.001589028,0.244162329384844,0.0154805390140469,0.027020681,0.042,0.000545664827644422,0.0002,27.7350146,19.1482072533844,5.837603088,17.7752372084659
Fragment,0.001887135,0.281534172714555,0.0188074536736408,0.035898305,0.0506,0.000798880872503432,0.0002,43.76003465,27.6276192086366,3.927813493,14.3018298996515
Fragment,0.001762689,0.227494364831381,0.015637666572876,0.029895366,0.042,0.000550590825384253,0.0002,34.03926738,21.4564631207684,5.290096612,19.3231853614363
Fragment,0.002326884,0.357770418917705,0.0248898564925945,0.045045045,0.0668,0.00139718856870764,0.0002,67.70525074,45.0824611699414,3.075929004,10.0687413146578
Fragment,0.001572976,0.151910544045107,0.0125483189370473,0.023557126,0.0338,0.000355074273666664,0.0002,23.93563716,15.3644895428958,7.602792007,26.7793722004533
Fragment,0.001931166,0.203758372039665,0.0164891984062162,0.028409091,0.0442,0.000611117706943028,0.0002,35.43868486,24.7873238933202,6.41801341,19.0400161214468
Fragment,0.002105099,0.254068514462169,0.0183315267300732,0.033167496,0.0492,0.000756998376282484,0.0002,45.1009592,30.0387359082001,5.132663125,16.7929266909011
Fragment,0.001903886,0.198345794339446,0.0156969545413835,0.030769231,0.0422,0.000555651669391774,0.0002,37.84061887,23.2630595406914,5.393905662,20.7141066684167
Fragment,0.003009733,0.194618364326994,0.0208274509769925,0.040241449,0.0552,0.00096470848103932,0.0002,78.23520109,48.7949168591925,4.985129165,18.5996471535566
Fragment,0.00252976,0.146375397879432,0.0159897232665562,0.035735849,0.0424,0.000568157558344529,0.0002,58.39612919,31.486962010568,5.31332986,26.5247315023687
Fragment,0.003482348,0.155076239361521,0.0204096299815134,0.046082949,0.0538,0.000920919106700596,0.0002,103.6604469,55.3245374552853,4.398324944,22.4104614542646
Fragment,0.002552543,0.15210265891292,0.0159135262287026,0.033900369,0.0422,0.000562845611688306,0.0002,55.89565457,31.6191348334689,5.957441725,27.0206820858828
Fragment,0.00305554,0.139544326572798,0.0186486213535704,0.04,0.0494,0.000772708170457999,0.0002,78.94936371,44.3552667891541,5.122284464,23.5530804095748
Fragment,0.002679545,0.262446090574843,0.0232300352598224,0.0456621,0.0618,0.00120529614875689,0.0002,79.03464949,48.4530829422955,3.447028777,13.3108469502562
Fragment,0.002894656,0.107976997051811,0.0165674436252684,0.038910506,0.0438,0.000608138495677922,0.0002,72.75526401,37.3304265658272,5.128127612,28.2708973943148
Fragment,0.002893857,0.156845720807416,0.0183388522538002,0.03649635,0.0486,0.000747359069158314,0.0002,68.22243129,41.3104294359995,5.827387715,23.0665236292843
Fragment,0.002787807,0.184092479996992,0.019049798369681,0.043103448,0.0504,0.00080506208043043,0.0002,77.62031085,41.339343829839,4.024707892,20.5934394046531
Fragment,0.002904201,0.246427092654357,0.0215659932229865,0.04784689,0.0572,0.00103542717094806,0.0002,89.75962839,48.7535928766553,3.402631649,16.7393319338364
Fragment,0.001740289,0.254488461543747,0.0175285818345274,0.03327787,0.047,0.00069134326553579,0.0002,37.4091264,23.7702965160042,4.241101031,15.2773814867622
Fragment,0.001925098,0.257537815659095,0.0200667763486797,0.040968577,0.0538,0.000906825586158714,0.0002,50.94532483,30.1021071116695,3.095418183,12.8950174172431
Fragment,0.001806142,0.187543972882726,0.0161217344556136,0.027390244,0.0432,0.000584217729222773,0.0002,31.95570988,22.689770280142,6.497232288,18.7435885112011
Fragment,0.001619626,0.214639328769005,0.0150403333034418,0.026075619,0.0404,0.000509693464075917,0.0002,27.28035675,18.9818546755315,6.428561056,19.3120950849946
Fragment,0.00167143,0.202405190566132,0.0148495178351975,0.027777778,0.0398,0.000495432543209221,0.0002,29.99067677,19.3404684417873,5.846034733,20.4449459408571
Fragment,0.001826392,0.253169666550495,0.0175560269143853,0.033167496,0.047,0.000692400506204937,0.0002,39.12977386,24.9854213525199,4.480607591,15.9831945353769
Fragment,0.001937634,0.248310434563996,0.018557251019087,0.03649635,0.0496,0.000772583529429063,0.0002,45.67954529,28.0189484682134,3.925916726,15.176347055795
Fragment,0.001899524,0.234553828848177,0.0188138813403294,0.035523979,0.0504,0.000795976136580704,0.0002,43.58801544,27.8477190838673,4.062280579,14.4746638636175
Fragment,0.002021166,0.195021366732895,0.0173185462642852,0.037243948,0.0462,0.000671264623352285,0.0002,48.62484634,27.2759484918207,3.932409484,18.1761940654763
Fragment,0.002182857,0.265850343081488,0.0200851802662247,0.034843206,0.0536,0.000903866598195288,0.0002,49.1296891,34.1639016781621,4.85240821,14.5947002944454
Fragment,0.002329768,0.130855256526302,0.014697974832599,0.034482759,0.0388,0.000477664608221968,0.0002,51.89377308,26.6831205826608,5.287822458,29.0887578959858
Fragment,0.002117852,0.134588424310743,0.0150612989318177,0.029368576,0.04,0.00050496700756906,0.0002,40.1771498,24.8556130566448,6.626711992,25.1825747675014
Fragment,0.002273014,0.16659260114386,0.0167691330923087,0.034467532,0.0444,0.000624172021675188,0.0002,50.60726401,29.7015535529084,5.163568008,21.8023743791858
Fragment,0.002436774,0.199939784530085,0.0178585659843873,0.03968254,0.0472,0.000706706448475618,0.0002,62.46191836,33.910038162258,4.176231488,20.6082774060799
Fragment,0.002423198,0.134230751103771,0.0158692010741784,0.034013605,0.0418,0.000555640835466903,0.0002,53.24051475,29.9647327377214,5.65264693,25.9537658259409
Fragment,0.00226653,0.118843000909657,0.0147308215014874,0.027855153,0.039,0.000481281021748557,0.0002,40.78192505,26.0168601483657,7.88349308,28.1730668309228
Fragment,0.002482053,0.122707246316342,0.015563007444595,0.031397174,0.041,0.000534400673148174,0.0002,50.33872398,30.1003135559983,6.795135721,27.6404310278943
Fragment,0.002614716,0.151271901409957,0.0176023161463692,0.044345898,0.0464,0.00068472792994349,0.0002,74.89943331,35.8641700365628,3.588275612,22.761902863819
Fragment,0.00251205,0.163366798250134,0.0176868879385987,0.044345898,0.0468,0.000694332321417531,0.0002,71.95855078,34.6215212954927,3.447384064,21.6597646516669
Fragment,0.002440144,0.143672938321042,0.0162899361024787,0.040194093,0.043,0.000586917417364891,0.0002,63.35463015,30.9742843158846,4.07623571,24.8026246301978
Fragment,0.001413932,0.0945662100959202,0.00516307623970211,0.00773589,0.0406,0.000171475489655736,0.0002,11.18407026,7.86753742770678,16.68819577,37.3921382824653
Fragment,0.001553735,0.0879068192107053,0.00562197551297335,0.013368984,0.044,0.000202382500068586,0.0002,21.23912323,9.41385825186782,6.140188967,34.6556765415132
Fragment,0.001254669,0.0443114415037606,0.00372654934308601,0.007533333,0.0294,8.9587287190283e-05,0.0002,9.664456105,5.03892390427235,15.61551181,63.696470853405
Fragment,0.001543662,0.0793352663891255,0.00523947962556725,0.008774576,0.041,0.000175799508579236,0.0002,13.84967451,8.71649981599342,14.16124594,39.6435339970531
Fragment,0.001756348,0.0722279299163795,0.00548193468260914,0.010498688,0.0426,0.000190981151270168,0.0002,18.85414369,10.3763875325066,11.25491253,41.2024534607665
Fragment,0.001273567,0.0489875807777533,0.00372830240973572,0.005050505,0.0296,9.03117267234989e-05,0.0002,6.576848346,5.11722702706863,35.26580137,64.5973851697459
Fragment,0.001340718,0.0683668199216447,0.00433662874813796,0.008067769,0.0342,0.000121355713600423,0.0002,11.05992249,6.26601515125881,14.54896286,50.2611999291087
Fragment,0.001460707,0.113655451426952,0.0055506526472153,0.009458571,0.0434,0.000197051478122409,0.0002,14.12699412,8.73793716143062,11.53223488,33.4230833949342
